Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
13.27925359,1.13419795,-7.896314621,-0.09571290761
13.28925359,1.272981644,-7.872386456,-0.08075776696
13.29925359,1.545763373,-8.32762146,0.003589233849
13.30925359,1.709671736,-8.842676163,0.5419743061
13.31925359,1.663609982,-10.03071213,1.467996716
13.32925359,1.330409408,-11.02552891,2.059023857
13.33925359,0.9439685345,-11.31446171,2.33838582
13.34925359,0.3744767308,-10.89332485,2.209771633
13.35925359,0.1010967568,-10.35553837,1.890928149
13.36925359,-0.09631111473,-9.73340416,1.118644595
13.37925359,-0.1028913707,-9.407979965,0.4073780477
13.38925359,0.2500499785,-9.179466248,-0.1262213886
13.39925359,0.4606183469,-9.083752632,-0.1250249892
13.40925359,0.685543716,-8.965308189,0.1399801224
13.41925359,0.6382854581,-8.900702477,0.509073019
13.42925359,0.107078813,-9.181859016,0.1938186288
13.43925359,-0.4199403822,-9.661021233,-0.4815555513
13.44925359,-0.6406782866,-9.829116821,-1.192223907
13.45925359,-0.6514459848,-10.07318497,-2.002792597
13.46925359,-0.5850451589,-9.894321442,-2.279163599
13.47925359,-0.4121637046,-9.815957069,-1.765903115
13.48925359,-0.4683950245,-9.911071777,-1.101296663
13.49925359,-0.6538388133,-9.815358162,-0.3445664644
13.50925359,-0.6867401004,-9.720842361,-0.1333998591
13.51925359,-0.5192425251,-9.664610863,0.0783649385
13.52925359,-0.2991028428,-9.493523598,0.2237289101
13.53925359,-0.107078813,-9.399007797,0.4983053207
13.54925359,-0.1016949639,-9.602396965,0.8177471161
13.55925359,-0.2213360965,-9.631709099,0.9080761671
13.56925359,-0.2021935135,-9.707681656,0.8644071817
13.57925359,-0.1836491376,-9.725627899,0.6299105883
13.58925359,-0.09272187948,-9.815957069,0.6005984545
13.59925359,0.05563312769,-9.892526627,0.5533402562
13.60925359,0.1848455518,-9.825528145,0.6113662124
13.61925359,0.2662015259,-9.864411354,0.7118647099
13.62925359,0.07058826834,-9.779465675,0.888933599
13.63925359,0.09451649338,-9.664610863,0.8949156404
13.64925359,0.151944235,-9.594022751,1.039083242
13.65925359,0.09032905847,-9.548559189,1.4267205
13.66925359,-0.05324030295,-9.69093132,1.248455167
13.67925359,-0.3128615618,-9.76211834,0.3559323549
13.68925359,-0.5054838061,-9.948160172,-0.536590457
13.69925359,-0.3876372576,-10.51107121,-1.540379524
13.70925359,-0.1447657645,-11.29531956,-2.397010088
13.71925359,0.5048855543,-11.64526939,-2.976073265
13.72925359,1.546361685,-11.57109165,-3.253640652
13.73925359,2.389233351,-11.66860008,-2.772683144
13.74925359,2.787638426,-11.966506,-1.838884234
13.75925359,2.895315409,-12.73938751,-0.6849454641
13.76925359,2.748156786,-13.39442253,-0.04307080805
13.77925359,2.930609465,-13.51585865,0.2440679073
13.78925359,2.992224693,-13.03190994,0.228514567
13.79925359,2.657827854,-12.76451206,0.2715853751
13.80925359,2.350948334,-12.4426775,-0.01914258115
13.81925359,2.215753794,-11.74516964,-0.55154562
13.82925359,2.061416626,-10.99023438,-1.160519004
13.83925359,1.625324726,-10.42851925,-1.512862086
13.84925359,0.9738788009,-9.926624298,-2.216351986
13.85925359,0.37986058,-9.469595909,-2.670390129
13.86925359,-0.2075773627,-9.213563919,-2.335993052
13.87925359,-0.6747759581,-9.244669914,-1.284347534
13.88925359,-0.4815555513,-9.437292099,-0.3176472187
13.89925359,-0.9966106415,-10.13121128,0.3224328458
13.90925359,-0.06340979785,-9.769296646,0.7782655358
13.91925359,0.9134600163,-8.790632248,1.990230203
13.92925359,-0.1423729509,-9.37328434,2.480758905
13.93925359,1.721037745,-9.638887405,1.542772412
13.94925359,1.53080833,-9.957731247,1.975873351
13.95925359,0.6993024349,-10.57627583,2.102692842
13.96925359,0.3834498227,-10.4793663,1.834098577
13.97925359,0.6885347366,-10.36271667,1.615753531
13.98925359,1.716850281,-10.20837975,1.529611826
13.99925359,2.418545485,-10.25085258,0.784845829
14.00925359,3.383451223,-10.07976532,0.3972085714
