Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
13.28565148,-0.02000583708,-2.94895196,0.1727221459
13.29565148,-0.04596760869,-3.280040979,0.125838235
13.30565148,-0.06490442902,-3.568216562,0.1084285825
13.31565148,0.002290744567,-3.54149127,0.04993823543
13.32565148,0.09147707373,-3.275154114,-0.03665191308
13.33565148,0.2278527319,-2.72613883,-0.1695151031
13.34565148,0.3564398587,-2.138333797,-0.2434297949
13.35565148,0.4819726646,-1.718669415,-0.2719877362
13.36565148,0.5784893632,-1.561829686,-0.287106663
13.37565148,0.681420207,-1.545947194,-0.2933680415
13.38565148,0.7115052938,-1.600619674,-0.322995007
13.39565148,0.6739370823,-1.646129131,-0.3744603992
13.40565148,0.6459900141,-1.681712031,-0.4039346576
13.41565148,0.6707300544,-1.699732542,-0.4297437072
13.42565148,0.7295258045,-1.577559471,-0.4560109079
13.43565148,0.7660250068,-1.427744746,-0.4271475375
13.44565148,0.7560984492,-1.295797944,-0.3605632186
13.45565148,0.6956228018,-1.26250577,-0.3003929853
13.46565148,0.5488623977,-1.31610918,-0.2199114859
13.47565148,0.3611740768,-1.437518597,-0.1469130963
13.48565148,0.2101376504,-1.543656468,-0.1069014147
13.49565148,0.1368338168,-1.58382082,-0.07528914511
13.50565148,0.07040221989,-1.557859063,-0.02382374369
13.51565148,0.02183843218,-1.502270341,0.03390302137
13.52565148,-0.009773843922,-1.410946012,0.07116580009
13.53565148,-0.03176499158,-1.303433776,0.08643743396
13.54565148,-0.03283400834,-1.209055066,0.08689557761
13.55565148,-0.005955935922,-1.077566266,0.09239336848
13.56565148,0.03711006418,-0.9816604257,0.1185078546
13.57565148,0.09193521738,-0.9332493544,0.1443169117
13.58565148,0.12996158,-0.9367618561,0.1722639948
13.59565148,0.1592831165,-0.9108000994,0.2017382532
13.60565148,0.1637118906,-0.8765916228,0.2287690341
13.61565148,0.1522581577,-0.8362745047,0.2386955917
13.62565148,0.1324050426,-0.8060367107,0.2573269904
13.63565148,0.116217114,-0.7904596329,0.2817615867
13.64565148,0.1449277848,-0.8329147696,0.2777909636
13.65565148,0.2422080636,-0.8671231866,0.2249511331
13.66565148,0.4031710625,-0.7680103183,0.1348485053
13.67565148,0.5261076689,-0.668286562,0.07666359097
13.68565148,0.6046038866,-0.550542295,0.01970040426
13.69565148,0.5734497309,-0.3950771093,-0.01847867295
13.70565148,0.4349360466,-0.3058907688,-0.01282817032
13.71565148,0.2521346211,-0.3130684495,0.04612032697
13.72565148,-0.06551529467,-0.3404046595,0.1295034289
13.73565148,-0.4030183554,-0.4631885588,0.1550070494
13.74565148,-0.6850853562,-0.6157521605,0.1241583601
13.75565148,-0.8429940343,-0.669508338,0.007024950348
13.76565148,-0.9060658813,-0.6348416805,-0.1710422635
13.77565148,-0.9729556441,-0.5810855627,-0.29138273
13.78565148,-1.036332846,-0.5186246037,-0.3849978149
13.79565148,-1.069930434,-0.487775892,-0.4946481287
13.80565148,-1.085049391,-0.4593706727,-0.5749769211
13.81565148,-1.129642606,-0.4337143302,-0.6493497491
13.82565148,-1.231351614,-0.4502076805,-0.7347181439
