Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
12.29075718,-1.329213023,0.4402793646,10.77009487
12.30075718,-1.256830096,0.3230310678,11.20020485
12.31075718,-1.089930773,0.104685992,10.93161011
12.32075718,-1.095912814,-0.06400800496,10.38425159
12.33075718,-1.16769743,-0.3302095234,10.06181908
12.34075718,-1.364507079,-0.5198407173,9.757930756
12.35075718,-1.752144337,-0.3756731451,9.585049629
12.36075718,-2.029113531,-0.2847459018,9.560523033
12.37075718,-2.163111687,-0.2703889608,9.546165466
12.38075718,-2.06261301,-0.2243271172,9.833903313
12.39075718,-1.937588096,-0.06759724021,10.02233791
12.40075718,-1.694118381,0.02871387079,9.994820595
12.41075718,-1.6181463,-0.07956135273,9.697511673
12.42075718,-1.465005636,-0.1561316848,9.726225853
12.43075718,-1.584646821,-0.2231307179,9.720842361
12.44075718,-1.771286964,-0.409172684,9.561120987
12.45075718,-1.861616015,-0.561715126,9.525827408
12.46075718,-2.048256159,-0.8009973764,9.447462082
12.47075718,-2.019542217,-0.8871390224,9.494720459
12.48075718,-1.976471543,-0.8877372146,9.600004196
12.49075718,-1.923829436,-0.8590233326,9.586245537
12.50075718,-1.746760488,-0.8063812256,9.592227936
12.51075718,-1.689332843,-0.7926225066,9.731011391
12.52075718,-1.718046665,-0.717248559,9.851250648
12.53075718,-1.622333765,-0.7028916478,9.866206169
12.54075718,-1.64626193,-0.7974081635,9.697511673
12.55075718,-1.670190215,-0.8638089895,9.586843491
12.56075718,-1.536192179,-0.8075776696,9.808179855
12.57075718,-1.406381488,-0.8045865893,10.0767746
12.58075718,-1.554736495,-0.760917604,10.00977516
12.59075718,-1.823330879,-0.7112665176,9.649655342
12.60075718,-1.905285001,-0.6903293133,9.434301376
12.61075718,-1.847857237,-0.656829834,9.391230583
12.62075718,-1.857428551,-0.6233302951,9.387042999
12.63075718,-1.800000787,-0.7052844763,9.486943245
12.64075718,-1.655833244,-0.7393822074,9.655039787
12.65075718,-1.679761529,-0.8356932998,9.735796928
12.66075718,-1.421934843,-0.7345965505,9.655637741
12.67075718,-1.369292736,-0.7196413875,9.565308571
12.68075718,-1.455434322,-0.7914260626,9.540781975
12.69075718,-1.670190215,-0.8871390224,9.553344727
12.70075718,-1.593619823,-0.9164510965,9.658628464
12.71075718,-1.837687731,-0.6101697683,9.607182503
12.72075718,-1.952543259,-0.6717849374,9.458230019
12.73075718,-1.613360643,-0.7579265833,9.540184021
12.74075718,-1.679761529,-1.040279627,9.489934921
12.75075718,-2.010569334,-1.26341033,9.195617676
12.76075718,-2.091326952,-1.259821177,9.34815979
12.77075718,-2.239681959,-1.093519926,9.535398483
12.78075718,-2.378465652,-1.212562919,9.381061554
12.79075718,-2.450250387,-1.226321578,9.29432106
12.80075718,-2.344367981,-1.202991605,9.46720314
12.81075718,-2.005185366,-1.29451704,9.59282589
12.82075718,-2.221137524,-1.223928809,8.983852386
12.83075718,-1.962712765,-0.9194421172,9.317651749
12.84075718,-1.799402595,-0.8596215248,9.701699257
12.85075718,-1.708475351,-0.9170492887,9.71605587
12.86075718,-1.737189293,-0.8410771489,9.768698692
12.87075718,-1.631905079,-0.8596215248,9.71186924
12.88075718,-1.875972986,-0.9212366939,9.604789734
12.89075718,-1.971685886,-0.9631111026,9.379266739
12.90075718,-1.995614052,-0.9487541914,9.412766457
12.91075718,-2.009970903,-0.9158528447,9.51386261
12.92075718,-1.956730723,-0.9367900491,9.767501831
12.93075718,-2.039283037,-0.9433703423,9.312267303
12.94075718,-2.029113531,-0.8817551732,9.360722542
12.95075718,-1.914258122,-0.6873382926,9.71186924
12.96075718,-1.794616938,-0.6687939167,9.784252167
12.97075718,-1.756331801,-0.7166503668,9.817750931
12.98075718,-1.708475351,-0.7453642488,9.817750931
12.99075718,-1.708475351,-0.8303094506,9.616155624
13.00075718,-1.727617979,-0.8925228715,9.558130264
13.01075718,-1.765903115,-0.9080761671,9.744172096
13.02075718,-1.852044702,-0.9074779749,9.677172661
13.03075718,-2.06261301,-1.036690354,9.641879082
13.04075718,-1.919641972,-0.9672985673,9.317052841
13.05075718,-1.915454507,-0.7776673436,8.806185722
13.06075718,-1.823929071,-0.87517488,9.155537605
13.07075718,-1.895115495,-0.9164510965,9.566504478
13.08075718,-2.028515339,-0.9798609018,9.79083252
13.09075718,-2.047657967,-1.007976532,9.699904442
13.10075718,-2.024327993,-0.9457631707,9.628120422
13.11075718,-1.966900229,-0.9260223508,9.528220177
13.12075718,-1.895115495,-0.9391828775,9.403793335
13.13075718,-1.852044702,-0.9589236975,9.470791817
13.14075718,-1.832902193,-0.9541380405,9.509077072
13.15075718,-1.789831281,-0.9355936646,9.567103386
13.16075718,-1.780260086,-0.9302098155,9.543174744
13.17075718,-1.818545222,-0.9068797827,9.605388641
13.18075718,-1.871187329,-0.993021369,9.590433121
13.19075718,-1.871187329,-0.9834501147,9.614361763
13.20075718,-1.861616015,-0.9744769931,9.652647018
13.21075718,-1.895115495,-0.993021369,9.585647583
13.22075718,-1.856830359,-0.9499505758,9.561718941
13.23075718,-1.775474429,-0.9068797827,9.624530792
13.24075718,-1.765903115,-0.902692318,9.677172661
13.25075718,-1.789831281,-0.9212366939,9.614959717
13.26075718,-1.823330879,-0.9547362328,9.609575272
13.27075718,-1.847259045,-0.9355936646,9.591031075
13.28075718,-1.875972986,-0.8967102766,9.519247055
13.29075718,-1.832902193,-0.8775677085,9.514460564
13.30075718,-1.789831281,-0.8584251404,9.510273933
13.31075718,-1.813759565,-0.9349954724,9.533603668
13.32075718,-1.828116536,-0.9116654396,9.586245537
13.33075718,-1.842473388,-0.9212366939,9.614959717
13.34075718,-1.871187329,-0.926620543,9.648459435
13.35075718,-1.856830359,-0.9116654396,9.624530792
13.36075718,-1.890329838,-0.9308080077,9.600004196
13.37075718,-1.8855443,-0.8925228715,9.543174744
13.38075718,-1.938186288,-1.002592683,9.537193298
13.39075718,-2.158325911,-1.08335042,9.468997002
13.40075718,-2.019542217,-0.9876375198,9.494122505
13.41075718,-2.158325911,-0.9786644578,9.574879646
13.42075718,-2.177468538,-1.068993568,9.425926208
13.43075718,-2.081755638,-0.9355936646,9.589835167
13.44075718,-2.024327993,-0.9218349457,9.643074989
13.45075718,-2.005185366,-0.8979067206,9.652647018
13.46075718,-2.053041935,-0.9068797827,9.604789734
13.47075718,-2.000399828,-0.9158528447,9.499505997
13.48075718,-2.019542217,-0.8919246197,9.489934921
13.49075718,-2.043470621,-0.8488538265,9.432506561
13.50075718,-2.033899307,-0.7812566161,9.413962364
13.51075718,-2.019542217,-0.7770691514,9.471389771
13.52075718,-2.0769701,-0.7627122402,9.476176262
13.53075718,-2.0769701,-0.7818548083,9.461818695
13.54075718,-2.0769701,-0.7537391186,9.538389206
13.55075718,-2.096112728,-0.7585247755,9.600603104
13.56075718,-2.124826431,-0.7920243144,9.556933403
13.57075718,-2.096112728,-0.8356932998,9.633503914
13.58075718,-2.115255117,-0.8261220455,9.600004196
13.59075718,-2.096112728,-0.8781659007,9.556335449
13.60075718,-2.0769701,-0.9068797827,9.551549911
13.61075718,-2.048256159,-0.9302098155,9.474979401
13.62075718,-2.033899307,-0.9643075466,9.518050194
13.63075718,-2.005185366,-0.9732806087,9.479764938
13.64075718,-1.971685886,-1.006780148,9.465408325
13.65075718,-1.93340075,-1.025922656,9.527621269
13.66075718,-1.914258122,-1.025922656,9.508479118
13.67075718,-1.919043779,-1.05523479,9.546764374
13.68075718,-1.899901152,-1.05523479,9.561120987
13.69075718,-1.919043779,-1.083948612,9.598808289
