Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
12.8601226,-3.328416348,-26.45145798,-3.582653761
12.8701226,-0.2955136001,-14.99402523,-2.464009047
12.8801226,1.144367456,-12.67956734,-1.280160069
12.8901226,2.493919373,-11.13500023,-0.1399801224
12.9001226,4.112065792,-10.37946606,1.010967612
12.9101226,5.81096983,-9.916455269,2.131406784
12.9201226,7.505686283,-10.05703354,3.396013498
12.9301226,7.554141045,-10.74317551,3.669991732
12.9401226,7.144370079,-12.12443256,4.047459602
12.9501226,6.64427042,-13.96690559,4.785645485
12.9601226,5.33240509,-16.52483368,5.702694416
12.9701226,3.787240028,-18.47438622,4.980660439
12.9801226,1.709073544,-16.64327812,3.533002615
12.9901226,1.278963685,-15.47617912,1.336391449
13.0001226,1.037288666,-13.94058514,-0.08195417374
13.0101226,0.4366901219,-12.83689499,-1.432104349
13.0201226,-0.3505485058,-12.03410339,-2.871387243
13.0301226,-2.194218397,-9.27278614,-3.818944931
13.0401226,-3.203989506,-8.965906143,-4.069592953
13.0501226,-5.048855782,-9.000003815,-6.504888535
13.0601226,-6.641279221,-8.114660263,-14.94736481
13.0701226,-5.402395248,-5.862415314,-19.80778503
13.0801226,0.1112662554,-3.513859987,-7.512865067
13.0901226,1.78145647,-2.555534601,-0.6771687865
13.1001226,2.46221447,-1.867598057,3.357130051
13.1101226,2.124228239,-1.554736495,4.521238327
13.1201226,2.648854733,-0.3104687333,3.899104595
13.1301226,4.42672205,1.259821177,0.9619147182
13.1401226,5.775077343,0.8679963946,-1.928016901
13.1501226,6.9649086,1.205384374,-5.196612358
13.1601226,7.521239758,1.59003067,-6.887141705
13.1701226,7.469794273,2.140978098,-6.227919102
13.1801226,2.398804665,-1.270588875,-5.488536835
13.1901226,1.292124271,-2.852842808,-4.473381996
13.2001226,1.243071318,-4.705485821,-2.904886723
13.2101226,2.413759947,-6.949953556,-1.262812138
13.2201226,3.296711445,-9.39840889,0.08015955985
13.2301226,7.086942673,-16.14198112,2.930011272
13.2401226,10.25204849,-21.71127701,3.840480328
13.2501226,6.476174355,-24.05564499,6.995417118
13.2601226,-1.377069473,-25.75454903,8.242077827
13.2701226,-8.724829674,-29.95215797,8.154141426
13.2801226,-15.44088459,-36.57189941,-0.9355936646
13.2901226,-11.2887392,-30.96791077,-4.082753658
13.3001226,-7.301698208,-24.00838661,-8.29890728
13.3101226,-3.805784464,-20.70330048,-9.796813965
13.3201226,-2.103291035,-20.99701881,-6.986443996
13.3301226,-0.4295116663,-21.03889275,-3.991826296
13.3401226,2.80259347,-17.35454369,2.651845694
13.3501226,7.940581799,-15.01017666,1.939382792
