Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
12.85705236,-1.227533698,-0.2612976134,0.999833703
12.86705236,-1.204931736,-1.751197934,1.30068481
12.87705236,-1.155604362,-2.779895067,1.651474237
12.88705236,-0.9624181986,-3.565467834,2.196366072
12.89705236,-0.6849326491,-3.565315008,2.297158718
12.90705236,-0.2017382532,-3.406490088,2.233781576
12.91705236,0.3376557529,-3.003013611,1.981035948
12.92705236,0.7000515461,-2.363132238,1.606575608
12.93705236,1.1351403,-1.207985997,0.9053022861
12.94705236,1.463785887,-0.956309557,0.5910121202
12.95705236,1.927127123,-0.7988590002,0.3323107064
12.96705236,2.451096773,-0.6553056836,0.25167647
12.97705236,2.910161972,-0.6421720982,0.338724792
12.98705236,3.427259445,0.1287398487,0.3200933933
12.99705236,3.401603222,0.3445279896,0.2626720667
13.00705236,3.375641346,0.3507893682,0.1931861341
13.01705236,3.459788084,0.06856962293,0.1951714456
13.02705236,3.629150391,-0.3810271919,0.2376265824
13.03705236,3.737273455,-0.7218900323,0.2503020465
13.04705236,3.708868265,-0.2527455091,0.2651155293
13.05705236,2.908787489,0.8510879874,0.5604688525
13.06705236,1.350775719,1.094059706,0.9538660645
13.07705236,-0.1934915632,0.5166392922,1.15728426
13.08705236,-1.23929286,0.04978551716,1.2310462
13.09705236,-1.567938328,0.118049711,1.103833556
13.10705236,-1.245706916,0.1698205322,1.03144598
13.11705236,-0.8474228382,0.01053742506,0.9176723361
13.12705236,-0.5436700583,-0.05574145541,0.6652322412
13.13705236,-0.3639229834,0.1072068512,0.3764457107
13.14705236,-0.705091238,0.7426594496,-0.145691365
13.15705236,-1.28052628,0.9239336848,-0.3940080702
13.16705236,-1.846798301,0.9170614481,-0.6994407177
13.17705236,-2.307543516,0.7041749358,-1.038012743
13.18705236,-2.733927488,0.1656972021,-1.184162259
13.19705236,-3.42237258,-1.23822391,-1.410335183
13.20705236,-3.618002176,-1.784795523,-1.630093932
13.21705236,-3.784615517,-2.061975718,-1.94636941
13.22705236,-3.981314182,-1.830457687,-2.302503824
13.23705236,-3.846160412,-1.190270901,-2.734996319
13.24705236,-2.160172224,-1.845729351,-3.838982582
13.25705236,-2.174680233,-0.8437576294,-3.932445049
13.26705236,-2.197129488,1.109178543,-3.754683256
13.27705236,-1.649183393,2.14184618,-3.169016123
13.28705236,-1.428202987,2.305558205,-2.20522356
13.29705236,-1.445765376,2.495079041,-1.493718266
13.30705236,-1.776243448,1.184314966,-1.009454846
13.31705236,-1.975538254,0.2255619913,-0.7420485616
