Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
8.232607406,2.239681959,0.7908278704,9.540781975
8.242607406,2.196611166,0.8141579032,9.593423843
8.252607406,2.173281193,0.8524430394,9.660423279
8.262607406,2.106282234,0.8285148144,9.641280174
8.272607406,2.039283037,0.8237292171,9.602396965
8.282607406,2.048854351,0.8333004713,9.611968994
8.292607406,2.067996979,0.8572286963,9.598209381
8.302607406,2.058425665,0.8620143533,9.626923561
8.312607406,2.077568293,0.8428717852,9.622138023
8.322607406,2.125424623,0.8422735929,9.67956543
8.332607406,2.1302104,0.8422735929,9.674779892
8.342607406,2.091925144,0.8141579032,9.64068222
8.352607406,2.048854351,0.799800992,9.573683739
8.362607406,2.06261301,0.8003991842,9.511469841
8.372607406,2.067398787,0.8003991842,9.511469841
8.382607406,2.105684042,0.7860422134,9.506684303
8.392607406,2.086541414,0.7722834945,9.406186104
8.402607406,2.134397745,0.7680960894,9.358329773
8.412607406,2.20618248,0.7860422134,9.531210899
8.422607406,2.249253273,0.7668996453,9.540781975
8.432607406,2.354537487,0.7908278704,9.546165466
8.442607406,2.378465652,0.7908278704,9.541379929
8.452607406,2.354537487,0.7525427341,9.521639824
8.462607406,2.325823545,0.7674978375,9.445069313
8.472607406,2.335394859,0.7866404653,9.421739578
8.482607406,2.220539331,0.7633104324,9.378069878
8.492607406,2.268395901,0.7579265833,9.411569595
8.502607406,2.321038008,0.7674978375,9.478569031
8.512607406,2.258824587,0.7148557901,9.430113792
8.522607406,2.282752752,0.7531409264,9.454640388
8.532607406,2.330609322,0.7663014531,9.602995872
8.542607406,2.249253273,0.7764709592,9.55035305
8.552607406,2.201396942,0.7764709592,9.492925644
8.562607406,2.201396942,0.7764709592,9.535996437
8.572607406,2.139183521,0.7621139884,9.521040916
8.582607406,2.143969059,0.7525427341,9.501898766
8.592607406,2.158325911,0.7531409264,9.449256897
8.602607406,2.163111687,0.733400166,9.497113228
8.612607406,2.153540373,0.709471941,9.521040916
8.622607406,2.206780672,0.72323066,9.616754532
8.632607406,2.216351986,0.718445003,9.64068222
8.642607406,2.240280151,0.7040880919,9.607182503
8.652607406,2.235494614,0.7136593461,9.607182503
8.662607406,2.263610125,0.7716853023,9.492925644
8.672607406,2.273181438,0.8009973764,9.478569031
8.682607406,2.263610125,0.8249256015,9.450452805
8.692607406,2.297109842,0.8392825127,9.469595909
8.702607406,2.268395901,0.8434699774,9.498309135
8.712607406,2.196611166,0.7477570772,9.482755661
8.722607406,2.215753794,0.7531409264,9.444471359
8.732607406,2.30189538,0.7525427341,9.57906723
8.742607406,2.029113531,0.6388836503,9.294919968
8.752607406,2.148754835,0.6927221417,9.185447693
8.762607406,2.2259233,0.7567301393,9.612566948
8.772607406,2.230708838,0.775872767,9.660423279
8.782607406,2.196611166,0.7573283911,9.544969559
8.792607406,2.158325911,0.7477570772,9.477970123
8.802607406,2.167897224,0.709471941,9.487542152
8.812607406,2.210968018,0.6759724021,9.487542152
8.822607406,2.225325108,0.7477570772,9.482755661
8.832607406,2.220539331,0.7429714203,9.530612946
8.842607406,2.187039852,0.643071115,9.467801094
8.852607406,2.249253273,0.8201399446,9.406784058
8.862607406,2.244467735,0.8105686903,9.40199852
8.872607406,2.273779631,0.6693921089,9.779465675
8.882607406,2.34137702,0.5916253924,10.01874828
8.892607406,2.384447813,0.6155536175,10.00498962
8.902607406,2.288136721,0.650847733,9.722038269
8.912607406,2.259422779,0.6610172391,9.588040352
8.922607406,2.273779631,0.6323033571,9.631111145
8.932607406,2.024327993,0.5970092416,9.11725235
8.973885493,-1.503290772,-9.579665184,1.377667665
8.983885493,-1.575075507,-9.464211464,1.305882931
8.993885493,-1.623530149,-9.449256897,1.219741344
9.003885493,-1.59003067,-9.458827972,1.181456208
9.013885493,-1.575673699,-9.468399048,1.205384374
9.023885493,-1.575673699,-9.477970123,1.253240824
9.033885493,-1.622931957,-9.502496719,1.310668588
9.043885493,-1.484148264,-9.497711182,1.349551916
9.053885493,-1.541576028,-9.564710617,1.277169108
9.063885493,-1.541576028,-9.526425362,1.277169108
9.073885493,-1.512862086,-9.545567513,1.291526079
9.083885493,-1.5224334,-9.588638306,1.271785259
9.093885493,-1.527219057,-9.583254814,1.257428288
9.103885493,-1.566102386,-9.607182503,1.185643673
9.113885493,-1.489532113,-9.635896683,1.195214868
9.123885493,-1.479960799,-9.626325607,1.204786181
9.133885493,-1.465603828,-9.650253296,1.233500123
9.143885493,-1.427318692,-9.712467194,1.266999602
9.153885493,-1.465603828,-9.659825325,1.228714466
9.163885493,-1.508674622,-9.611968994,1.257428288
9.173885493,-1.512862086,-9.574281693,1.286740422
9.183885493,-1.555932879,-9.564710617,1.329811215
9.193885493,-1.546361685,-9.526425362,1.267597795
9.203885493,-1.518245935,-9.540184021,1.214955688
9.213885493,-1.489532113,-9.577870369,1.14795661
9.223885493,-1.475175142,-9.573084831,1.095314622
9.233885493,-1.484746456,-9.577870369,1.119242787
9.243885493,-1.475175142,-9.583254814,1.258026481
9.253885493,-1.470389485,-9.631111145,1.238285661
9.263885493,-1.503889084,-9.626325607,1.200000525
9.273885493,-1.54217422,-9.601799011,1.166501045
9.283885493,-1.537388563,-9.59282589,1.195214868
9.293885493,-1.508674622,-9.573683739,1.200598717
9.303885493,-1.479960799,-9.607182503,1.195214868
9.313885493,-1.465603828,-9.631111145,1.200000525
9.323885493,-1.465603828,-9.673583984,1.176072359
9.333885493,-1.436890006,-9.687940598,1.156929731
9.343885493,-1.441675663,-9.606584549,1.143171072
9.353885493,-1.499103427,-9.554540634,1.210170031
9.363885493,-1.527219057,-9.555138588,1.296311617
9.373885493,-1.555932879,-9.746564865,1.280758262
9.383885493,-1.561316729,-9.741181374,1.189232826
9.393885493,-1.575673699,-9.678369522,1.089332461
9.403885493,-1.518245935,-9.601799011,1.085145116
9.413885493,-1.475175142,-9.649655342,1.109073281
9.423885493,-1.513460279,-9.707083702,1.079761267
9.433885493,-1.479960799,-9.677771568,1.022931695
9.443885493,-1.436890006,-9.59641552,1.023529887
9.453885493,-1.412961721,-9.582057953,1.05224371
9.463885493,-1.475175142,-9.601799011,1.128215909
9.473885493,-1.551745534,-9.650253296,1.190429211
9.483885493,-1.579861164,-9.64068222,1.232901812
9.493885493,-1.604387641,-9.635896683,1.185045362
9.503885493,-1.642672777,-9.740582466,1.112662554
9.513885493,-1.642672777,-9.788438797,1.116850019
9.523885493,-1.685145378,-9.812965393,1.150349498
9.533885493,-1.737787485,-9.769296646,1.135992527
9.543885493,-1.695314884,-9.65444088,1.136590719
9.553885493,-1.628315806,-9.587442398,1.147358418
9.563885493,-1.488933921,-9.660423279,1.300499082
9.573885493,-1.402792215,-9.722636223,1.362712502
9.583885493,-1.359721422,-9.660423279,1.310668588
9.593885493,-1.316650629,-9.598209381,1.383051515
9.603885493,-1.316650629,-9.57906723,1.354337573
9.613885493,-1.259222865,-9.655637741,1.397408366
9.623885493,-1.2352947,-9.594022751,1.435693622
9.633885493,-1.125224829,-9.493523598,1.508674622
9.643885493,-1.049252748,-9.445667267,1.451845169
9.653885493,-1.006181955,-9.4307127,1.409372568
9.663885493,-0.9631111026,-9.527023315,1.499701619
9.673885493,-0.9577272534,-9.68674469,1.791027784
9.683885493,-1.0863415,-9.597013474,1.948953986
9.693885493,-1.210768223,-9.44865799,1.963909149
9.703885493,-1.301695466,-9.234500885,2.132004976
9.713885493,-1.329811215,-9.001200676,2.248655081
9.723885493,-1.238883972,-8.824729919,2.369492531
9.733885493,-1.191027522,-8.748159409,2.399402857
9.743885493,-1.272383451,-8.919844627,2.277967215
