"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.617997800E-2,-4.019343853E0,5.620141983E0,7.320840836E0
3.617997800E-2,-4.061816216E0,5.638686657E0,7.402196884E0
4.617997800E-2,-3.981058598E0,5.793023586E0,7.240681171E0
5.617997800E-2,-3.842274904E0,5.739783287E0,7.326822758E0
6.617997800E-2,-3.555136204E0,5.668596745E0,7.308278561E0
7.617997800E-2,-3.177070379E0,5.452644825E0,7.466803074E0
8.617997800E-2,-2.765504837E0,5.197809219E0,7.682157040E0
9.617997800E-2,-2.444268227E0,5.381458282E0,8.177471161E0
1.061799780E-1,-2.166700840E0,4.877768993E0,8.367102623E0
1.161799780E-1,-2.008176327E0,4.159922123E0,8.396414757E0
1.261799780E-1,-2.007578135E0,3.646063566E0,8.666205406E0
1.361799780E-1,-1.443470240E0,3.923630953E0,8.770891190E0
1.461799780E-1,-1.228116274E0,4.457230568E0,9.153144836E0
1.561799780E-1,-1.304686546E0,4.354339123E0,8.764310837E0
1.661799780E-1,-1.162313581E0,3.759722471E0,8.205587387E0
1.761799780E-1,-6.556333899E-1,3.820141315E0,7.882555962E0
1.861799780E-1,-1.974078715E-1,4.017549038E0,7.708477974E0
1.961799780E-1,1.429711580E-1,3.815355778E0,7.933403492E0
2.061799780E-1,3.212364316E-1,3.046063185E0,8.551948547E0
2.161799780E-1,3.930211067E-1,2.704487801E0,8.775078773E0
2.261799780E-1,4.175475538E-1,2.612962246E0,8.884550095E0
2.361799780E-1,4.564309120E-1,2.563311338E0,9.205188751E0
2.461799780E-1,2.464607358E-1,2.130808592E0,9.469595909E0
2.561799780E-1,3.768695593E-1,2.169692039E0,1.016471100E1
2.661799780E-1,6.687939167E-1,2.365305185E0,1.030588722E1
2.761799780E-1,4.528416991E-1,2.442473650E0,1.012881851E1
2.861799780E-1,2.333002090E-1,2.436491728E0,1.034776115E1
2.961799780E-1,3.439682424E-1,2.410768747E0,1.063549805E1
3.061799780E-1,4.103690982E-1,2.488535643E0,1.039681435E1
3.161799780E-1,3.236292601E-1,2.715853691E0,1.006301594E1
3.261799780E-1,2.656033039E-1,2.908475876E0,9.805189133E0
3.361799780E-1,6.879365444E-2,3.141177893E0,9.375079155E0
3.461799780E-1,-2.087737769E-1,3.352942705E0,9.150154114E0
3.561799780E-1,-4.432703853E-1,3.396611691E0,9.015557289E0
3.661799780E-1,-5.006981492E-1,3.200400352E0,9.038289070E0
3.761799780E-1,-4.336991012E-1,3.171088219E0,9.134002686E0
3.861799780E-1,-3.565305769E-1,3.141177893E0,9.272786140E0
