"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.667613800E-2,-6.229298115E-1,-7.722864151E-1,-7.024950348E-3
4.667613800E-2,-8.376489878E-1,-8.990409374E-1,1.049161032E-1
5.667613800E-2,-1.005636930E0,-1.018159628E0,2.498438805E-1
6.667613800E-2,-1.112232924E0,-1.152702689E0,4.019493461E-1
7.667613800E-2,-1.179733515E0,-1.249830246E0,5.308418870E-1
8.667613800E-2,-1.260062337E0,-1.306488037E0,6.577491760E-1
9.667613800E-2,-1.304197311E0,-1.317330956E0,7.467827797E-1
1.066761380E-1,-1.248303175E0,-1.254411817E0,7.996225953E-1
1.166761380E-1,-1.184925914E0,-1.210887671E0,7.924449444E-1
1.266761380E-1,-1.058171272E0,-1.133307695E0,7.608326674E-1
1.366761380E-1,-9.401215911E-1,-1.034805775E0,7.159340382E-1
1.466761380E-1,-7.869471312E-1,-8.895725012E-1,6.945537925E-1
1.566761380E-1,-6.307183504E-1,-8.084801435E-1,7.411322594E-1
1.666761380E-1,-6.206390858E-1,-8.225300312E-1,8.666650653E-1
1.766761380E-1,-7.348709106E-1,-8.075638413E-1,1.039081812E0
1.866761380E-1,-8.862127662E-1,-7.767151594E-1,1.139721870E0
1.966761380E-1,-1.054047942E0,-6.925684810E-1,1.116050839E0
2.066761380E-1,-1.169501543E0,-5.842925906E-1,1.031293273E0
2.166761380E-1,-1.220661521E0,-5.154175758E-1,8.962920308E-1
2.266761380E-1,-1.195921421E0,-5.389358401E-1,7.507534027E-1
2.366761380E-1,-1.123075724E0,-5.934556127E-1,5.587889552E-1
2.466761380E-1,-1.086576581E0,-6.811147332E-1,3.213151097E-1
2.566761380E-1,-1.097113967E0,-7.414376736E-1,1.269072592E-1
2.666761380E-1,-1.044121385E0,-6.652322412E-1,-3.390302137E-2
2.766761380E-1,-8.515461683E-1,-6.383541822E-1,-6.704246253E-2
2.866761380E-1,-6.046038866E-1,-6.650795341E-1,-7.727445662E-2
2.966761380E-1,-4.057672322E-1,-5.462662578E-1,-8.567385375E-2
3.066761380E-1,-1.629483104E-1,-2.835941911E-1,-9.560041130E-2
3.166761380E-1,4.917465150E-2,-3.222314268E-2,-1.214094684E-1
3.266761380E-1,1.609629989E-1,1.760819107E-1,-1.156062484E-1
3.366761380E-1,1.821905524E-1,2.643519342E-1,-5.787948146E-2
3.466761380E-1,1.661553532E-1,2.759583890E-1,2.519819140E-2
3.566761380E-1,1.067487001E-1,2.075414658E-1,6.765332818E-2
