"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.815528300E-2,-3.224926710E0,-3.690928936E0,8.475975990E0
3.815528300E-2,-3.058027267E0,-3.465405464E0,8.397012711E0
4.815528300E-2,-2.818745136E0,-3.327818155E0,8.542376518E0
5.815528300E-2,-2.646461725E0,-3.505485058E0,8.666205406E0
6.815528300E-2,-2.564507723E0,-3.731008768E0,8.765507698E0
7.815528300E-2,-2.593221426E0,-3.923032761E0,8.879166603E0
8.815528300E-2,-2.779263496E0,-4.116253376E0,9.121439934E0
9.815528300E-2,-3.166900873E0,-4.075575352E0,8.756534576E0
1.081552830E-1,-3.411566973E0,-4.112663746E0,8.487341881E0
1.181552830E-1,-3.497708559E0,-4.202394962E0,8.342576027E0
1.281552830E-1,-3.268595695E0,-4.316053867E0,8.098507881E0
1.381552830E-1,-2.977269650E0,-4.246662140E0,7.807780266E0
1.481552830E-1,-2.848057270E0,-4.146163464E0,7.775477409E0
1.581552830E-1,-2.804986238E0,-4.007379532E0,7.819744587E0
1.681552830E-1,-2.886342287E0,-3.892524242E0,7.858627796E0
1.781552830E-1,-2.919841766E0,-3.845266104E0,7.916055679E0
1.881552830E-1,-2.919243574E0,-3.927818298E0,8.130811691E0
1.981552830E-1,-3.019144058E0,-4.150949001E0,8.522037506E0
2.081552830E-1,-3.229712248E0,-4.332803726E0,8.495717049E0
2.181552830E-1,-3.244069338E0,-4.374678135E0,8.337790489E0
2.281552830E-1,-3.181855917E0,-4.426722050E0,8.246863365E0
2.381552830E-1,-3.101098061E0,-4.372883320E0,8.074580193E0
2.481552830E-1,-2.995813847E0,-4.291527271E0,8.037490845E0
2.581552830E-1,-3.063411236E0,-4.232903481E0,7.893921852E0
2.681552830E-1,-3.168695450E0,-4.252045631E0,7.855038643E0
2.781552830E-1,-3.034697294E0,-4.121636868E0,7.731808186E0
2.881552830E-1,-2.810370207E0,-4.006183147E0,7.633104324E0
2.981552830E-1,-2.657229662E0,-3.949951887E0,7.806583881E0
3.081552830E-1,-2.623729944E0,-3.862613916E0,7.677969456E0
3.181552830E-1,-2.538186550E0,-3.726222992E0,7.338787079E0
3.281552830E-1,-2.529811859E0,-3.613162279E0,6.870391846E0
3.381552830E-1,-2.669193745E0,-3.725026608E0,6.346961975E0
3.481552830E-1,-2.794218540E0,-4.081557274E0,5.894120216E0
3.581552830E-1,-2.809173822E0,-4.421338081E0,5.159523964E0
3.681552830E-1,-2.657827854E0,-4.392624378E0,4.403391838E0
3.781552830E-1,-2.654238462E0,-3.957728624E0,3.822534084E0
3.881552830E-1,-2.660220623E0,-3.380460262E0,3.342175007E0
3.981552830E-1,-2.694916487E0,-3.256631613E0,2.615355253E0
4.081552830E-1,-3.178864956E0,-3.299104214E0,1.741376638E0
4.181552830E-1,-3.016152859E0,-3.769293785E0,1.978266120E0
4.281552830E-1,-2.388635159E0,-5.165505886E0,4.820939541E0
4.381552830E-1,-2.425125837E0,-5.936593056E0,5.678168297E0
4.481552830E-1,-2.471187592E0,-5.997610092E0,3.943969965E0
4.581552830E-1,-1.770090580E0,-6.204588890E0,2.700300455E0
4.681552830E-1,-1.091127157E0,-6.815357208E0,2.531606436E0
4.781552830E-1,-7.525427341E-1,-7.749754429E0,1.981257200E0
4.881552830E-1,-1.159322619E0,-8.608778000E0,1.576271892E0
4.981552830E-1,-2.636292458E0,-9.719645500E0,1.491924882E0
5.081552830E-1,-4.524827480E0,-1.096451187E1,1.347757339E0
5.181552830E-1,-5.567500114E0,-1.219561863E1,6.077769399E-1
5.281552830E-1,-6.141179085E0,-1.281894875E1,7.549355626E-1
5.381552830E-1,-6.704091072E0,-1.306301689E1,1.349551916E0
5.481552830E-1,-5.988038540E0,-1.356610775E1,3.135195971E0
5.581552830E-1,-5.102096081E0,-1.365643692E1,3.909274101E0
