"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.859100600E-2,-2.420553565E-1,1.001819000E-1,-5.192354787E-3
4.859100600E-2,-2.605340183E-1,9.651670605E-2,-3.451388702E-2
5.859100600E-2,-2.727513313E-1,9.422596544E-2,-8.582656831E-2
6.859100600E-2,-2.405281961E-1,6.291911751E-2,-1.470658034E-1
7.859100600E-2,-1.875356287E-1,3.191770986E-2,-1.937969923E-1
8.859100600E-2,-1.053742543E-1,4.764748737E-2,-2.133446932E-1
9.859100600E-2,-3.817907721E-2,7.651086897E-2,-1.840231568E-1
1.085910060E-1,5.345070735E-3,2.886338346E-2,-1.269072592E-1
1.185910060E-1,-4.276056774E-3,1.710422710E-2,-3.420845419E-2
1.285910060E-1,-4.214970022E-2,4.123340361E-3,2.809980139E-2
1.385910060E-1,-1.169806942E-1,-1.679879380E-3,5.253441259E-2
1.485910060E-1,-2.028072625E-1,-1.725694351E-2,2.214386500E-2
1.585910060E-1,-2.825251818E-1,-1.908953860E-2,-3.634648025E-2
1.685910060E-1,-3.269656301E-1,-5.803219974E-3,-7.651086897E-2
1.785910060E-1,-3.539963961E-1,-4.734205548E-3,-1.117883399E-1
1.885910060E-1,-3.390302062E-1,-3.252857551E-2,-1.363756657E-1
1.985910060E-1,-3.145956099E-1,-1.893682219E-2,-1.192714423E-1
2.085910060E-1,-2.852740586E-1,5.650503561E-3,-7.040221989E-2
2.185910060E-1,-2.260201424E-1,-2.229658142E-2,-2.290744567E-3
2.285910060E-1,-1.986839175E-1,-4.673119262E-2,5.497787148E-2
2.385910060E-1,-2.057088763E-1,-7.773260027E-2,8.277224004E-2
2.485910060E-1,-2.278527319E-1,-8.032877743E-2,8.048149943E-2
2.585910060E-1,-2.625193298E-1,-5.864306539E-2,6.719517708E-2
2.685910060E-1,-3.141374588E-1,-5.299255997E-2,6.979135424E-2
2.785910060E-1,-3.558290005E-1,-5.849034712E-2,6.856962293E-2
2.885910060E-1,-3.813326359E-1,-8.903361112E-2,1.466076635E-2
2.985910060E-1,-4.146247804E-1,-7.192938030E-2,-3.756821156E-2
3.085910060E-1,-4.819726646E-1,1.710422710E-2,-9.804387391E-2
3.185910060E-1,-5.630650520E-1,1.293507218E-1,-1.559233516E-1
3.285910060E-1,-6.776022911E-1,2.706133127E-1,-2.293798923E-1
3.385910060E-1,-8.405506015E-1,3.562871516E-1,-3.055853248E-1
3.485910060E-1,-1.005789638E0,4.124867618E-1,-3.623957932E-1
3.585910060E-1,-1.233336926E0,5.600107312E-1,-4.662429094E-1
3.685910060E-1,-1.518916488E0,8.361217976E-1,-6.388123035E-1
3.785910060E-1,-1.856572151E0,1.175610185E0,-8.378016949E-1
3.885910060E-1,-2.132988691E0,1.396743417E0,-1.020603061E0
3.985910060E-1,-2.459648848E0,1.833664775E0,-1.339932919E0
4.085910060E-1,-2.840065241E0,1.913382649E0,-1.650099754E0
4.185910060E-1,-3.249955893E0,1.774716258E0,-1.771051049E0
4.285910060E-1,-3.537215233E0,2.115884542E0,-1.755321264E0
4.385910060E-1,-3.766900539E0,3.149926662E0,-1.638187885E0
4.485910060E-1,-3.811493635E0,3.856850386E0,-1.651474237E0
4.585910060E-1,-3.757279396E0,3.706730366E0,-1.891696930E0
4.685910060E-1,-3.639382362E0,3.347083330E0,-2.223396778E0
4.785910060E-1,-3.517820120E0,3.105791569E0,-2.481334686E0
4.885910060E-1,-3.363424063E0,2.668106556E0,-2.819601297E0
4.985910060E-1,-3.107776880E0,2.176970959E0,-3.070514202E0
5.085910060E-1,-2.821433783E0,1.583209991E0,-3.087618351E0
5.185910060E-1,-2.632829189E0,9.636399150E-1,-2.836094618E0
5.285910060E-1,-2.462550402E0,1.227839142E-1,-2.303725481E0
5.385910060E-1,-2.323120594E0,-5.829181671E-1,-1.693776608E0
5.485910060E-1,-2.352900267E0,-8.573493958E-1,-1.111621976E0
5.585910060E-1,-2.474920511E0,-5.610797405E-1,-6.142250299E-1
5.685910060E-1,-2.770579338E0,-1.069014147E-1,-2.229658216E-1
5.785910060E-1,-2.877786160E0,-5.390885845E-2,-4.550946131E-2
5.885910060E-1,-3.169474363E0,-3.310889602E-1,-1.514945775E-1
5.985910060E-1,-3.515529394E0,-3.660610020E-1,-2.854267955E-1
6.085910060E-1,-3.322954178E0,-5.703954101E-1,-4.124867618E-1
6.185910060E-1,-2.180330753E0,-9.851729274E-1,-4.899139404E-1
6.285910060E-1,-7.391469479E-1,-8.541423082E-1,-4.624249935E-1
6.385910060E-1,1.036943719E-1,-6.898195744E-1,-5.618433356E-1
6.485910060E-1,3.856086731E-1,-5.293147564E-1,-6.262896061E-1
6.585910060E-1,3.798054755E-1,-4.482223690E-1,-6.721044779E-1
6.685910060E-1,2.267837226E-1,-4.964807332E-1,-6.843217611E-1
