"event","experiment time","system time","system time text"
"START",0.000000000E0,1782488598.822,"2026-06-26 17:43:18.822 UTC+02:00"
"PAUSE",4.131229087E0,1782488602.953,"2026-06-26 17:43:22.953 UTC+02:00"
"START",4.131229087E0,1782488605.927,"2026-06-26 17:43:25.927 UTC+02:00"
"PAUSE",1.009086064E1,1782488611.887,"2026-06-26 17:43:31.887 UTC+02:00"
"START",1.009086064E1,1782488614.254,"2026-06-26 17:43:34.254 UTC+02:00"
"PAUSE",1.576013921E1,1782488619.924,"2026-06-26 17:43:39.924 UTC+02:00"
"START",1.576013921E1,1782488622.341,"2026-06-26 17:43:42.341 UTC+02:00"
"PAUSE",2.149270163E1,1782488628.074,"2026-06-26 17:43:48.074 UTC+02:00"
"START",2.149270163E1,1782488631.329,"2026-06-26 17:43:51.329 UTC+02:00"
"PAUSE",2.612131190E1,1782488635.958,"2026-06-26 17:43:55.958 UTC+02:00"
"START",2.612131190E1,1782488638.990,"2026-06-26 17:43:58.990 UTC+02:00"
"PAUSE",3.202332436E1,1782488644.892,"2026-06-26 17:44:04.892 UTC+02:00"
"START",3.202332436E1,1782488648.290,"2026-06-26 17:44:08.290 UTC+02:00"
"PAUSE",4.152932676E1,1782488657.796,"2026-06-26 17:44:17.796 UTC+02:00"
"START",4.152932676E1,1782488660.875,"2026-06-26 17:44:20.875 UTC+02:00"
"PAUSE",4.728160895E1,1782488666.627,"2026-06-26 17:44:26.627 UTC+02:00"
"START",4.728160895E1,1782488669.529,"2026-06-26 17:44:29.529 UTC+02:00"
"PAUSE",5.314251537E1,1782488675.390,"2026-06-26 17:44:35.390 UTC+02:00"
"START",5.314251537E1,1782488679.020,"2026-06-26 17:44:39.020 UTC+02:00"
"PAUSE",6.066556359E1,1782488686.543,"2026-06-26 17:44:46.543 UTC+02:00"
"START",6.066556359E1,1782488689.209,"2026-06-26 17:44:49.209 UTC+02:00"
"PAUSE",6.626715396E1,1782488694.810,"2026-06-26 17:44:54.810 UTC+02:00"
"START",6.626715396E1,1782488697.146,"2026-06-26 17:44:57.146 UTC+02:00"
"PAUSE",7.151437023E1,1782488702.393,"2026-06-26 17:45:02.393 UTC+02:00"
"START",7.151437023E1,1782488704.810,"2026-06-26 17:45:04.810 UTC+02:00"
"PAUSE",7.781439558E1,1782488711.110,"2026-06-26 17:45:11.110 UTC+02:00"
"START",7.781439558E1,1782488714.127,"2026-06-26 17:45:14.127 UTC+02:00"
"PAUSE",8.296206132E1,1782488719.274,"2026-06-26 17:45:19.274 UTC+02:00"
"START",8.296206132E1,1782488721.846,"2026-06-26 17:45:21.846 UTC+02:00"
"PAUSE",8.942493323E1,1782488728.309,"2026-06-26 17:45:28.309 UTC+02:00"
"START",8.942493323E1,1782488731.072,"2026-06-26 17:45:31.072 UTC+02:00"
"PAUSE",9.517814368E1,1782488736.825,"2026-06-26 17:45:36.825 UTC+02:00"
"START",9.517814368E1,1782488740.375,"2026-06-26 17:45:40.375 UTC+02:00"
"PAUSE",1.015266964E2,1782488746.723,"2026-06-26 17:45:46.723 UTC+02:00"
"START",1.015266964E2,1782488750.057,"2026-06-26 17:45:50.057 UTC+02:00"
"PAUSE",1.068243036E2,1782488755.354,"2026-06-26 17:45:55.354 UTC+02:00"
"START",1.068243036E2,1782488759.292,"2026-06-26 17:45:59.292 UTC+02:00"
"PAUSE",1.108556416E2,1782488763.323,"2026-06-26 17:46:03.323 UTC+02:00"
"START",1.108556416E2,1782488766.107,"2026-06-26 17:46:06.107 UTC+02:00"
"PAUSE",1.157217907E2,1782488770.973,"2026-06-26 17:46:10.973 UTC+02:00"
"START",1.157217907E2,1782488773.998,"2026-06-26 17:46:13.998 UTC+02:00"
"PAUSE",1.226044304E2,1782488780.881,"2026-06-26 17:46:20.881 UTC+02:00"
