"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.190653000E-2,-4.182653904E0,5.530411243E0,6.409773827E0
3.012260400E-2,-4.292125702E0,5.561518192E0,6.840481758E0
4.012260400E-2,-4.204787731E0,5.490331650E0,7.476972580E0
5.012260400E-2,-3.835694790E0,5.261816978E0,8.114061356E0
6.012260400E-2,-3.528815269E0,5.163711071E0,8.483154297E0
7.012260400E-2,-3.308675528E0,5.229514122E0,8.681160927E0
8.012260400E-2,-3.083750248E0,5.243870735E0,8.729615211E0
9.012260400E-2,-2.888735056E0,4.627120972E0,7.955537319E0
1.001226040E-1,-2.602194548E0,4.485944271E0,7.596613884E0
1.101226040E-1,-2.272583246E0,4.482355118E0,7.463811874E0
1.201226040E-1,-2.081157446E0,4.415954113E0,7.402196884E0
1.301226040E-1,-1.837687731E0,4.325026989E0,7.349554539E0
1.401226040E-1,-1.319641709E0,4.106083870E0,8.020741463E0
1.501226040E-1,-1.032503009E0,4.194618225E0,8.472386360E0
1.601226040E-1,-7.489534616E-1,4.143172264E0,9.043074608E0
1.701226040E-1,-5.910272002E-1,3.997210264E0,9.397212982E0
1.801226040E-1,-6.526423693E-1,4.030111313E0,9.535996437E0
1.901226040E-1,-8.297112584E-1,3.739981890E0,9.217152596E0
2.001226040E-1,-5.868397355E-1,3.732803345E0,8.863613129E0
2.101226040E-1,-1.758724600E-1,3.381656647E0,8.437092781E0
2.201226040E-1,8.195417374E-2,2.889931440E0,8.281558990E0
2.301226040E-1,4.552344978E-1,2.584846735E0,8.161319733E0
2.401226040E-1,1.061815023E0,2.405983210E0,7.789236069E0
2.501226040E-1,1.563111424E0,2.178664923E0,7.430312634E0
2.601226040E-1,1.783251047E0,2.064407825E0,7.334599495E0
2.701226040E-1,1.797608018E0,2.843271494E0,7.593622684E0
2.801226040E-1,1.549950838E0,4.015156269E0,8.356932640E0
2.901226040E-1,1.718644857E0,5.107480049E0,9.762716293E0
3.001226040E-1,2.956930637E0,4.379463673E0,9.250054359E0
3.101226040E-1,3.912863255E0,3.445664644E0,8.730812073E0
3.201226040E-1,4.394418716E0,2.422732830E0,7.773084164E0
3.301226040E-1,4.382454872E0,1.198804140E0,6.123233318E0
3.401226040E-1,4.052245140E0,3.206382394E-1,5.690132141E0
3.501226040E-1,3.359523058E0,-3.655036688E-1,5.869594097E0
3.601226040E-1,2.190030813E0,-1.179661512E0,6.592824459E0
3.701226040E-1,1.759322882E0,-1.322632670E0,6.436692715E0
3.801226040E-1,1.539183140E0,-9.876375198E-1,6.399604321E0
3.901226040E-1,2.031506538E0,-1.328016520E-1,6.675376892E0
4.001226040E-1,3.929612875E0,1.161715388E0,6.623931408E0
4.101226040E-1,3.894917011E0,1.274776220E0,6.169294834E0
4.201226040E-1,3.740580082E0,2.227119684E0,5.389832973E0
4.301226040E-1,4.427918434E0,3.710669756E0,2.428116798E0
4.401226040E-1,5.020142078E0,3.963112593E0,1.953141451E0
4.501226040E-1,3.609572887E0,1.281356573E0,1.246062398E0
4.601226040E-1,2.641077995E0,-3.708875179E-1,2.055434704E0
4.701226040E-1,2.012363911E0,-2.254039049E0,3.118446112E0
4.801226040E-1,2.078764677E0,-3.559323788E0,5.178666592E0
4.901226040E-1,3.435495138E0,-3.915854216E0,7.250252724E0
5.001226040E-1,4.133002758E0,-2.965903759E0,1.003190899E1
5.101226040E-1,4.316053867E0,-1.843669891E0,8.133802414E0
5.201226040E-1,4.972285271E0,-2.073380709E0,5.956333637E0
5.301226040E-1,5.363512039E0,-1.959721804E0,5.469992638E0
5.401226040E-1,5.446662426E0,-1.920240164E0,6.806384087E0
5.501226040E-1,6.196812630E0,-2.874976397E0,8.800203323E0
5.601226040E-1,6.671787739E0,-2.618944407E0,9.948160172E0
5.701226040E-1,7.385447025E0,-2.145763636E0,1.090648556E1
5.801226040E-1,7.088737011E0,-2.173879385E0,1.075214863E1
5.901226040E-1,6.863811970E0,-2.391626120E0,1.034297562E1
6.001226040E-1,7.082156658E0,-2.543570518E0,9.485747337E0
6.101226040E-1,7.219145775E0,-2.932404041E0,8.166703224E0
6.201226040E-1,7.844869137E0,-2.901297569E0,7.858029366E0
6.301226040E-1,8.883354187E0,-2.269592285E0,8.756534576E0
6.401226040E-1,9.534201622E0,-2.257030010E0,9.070592880E0
6.501226040E-1,9.696913719E0,-2.434098721E0,9.165707588E0
6.601226040E-1,1.153041458E1,-1.499103427E0,1.056251717E1
6.701226040E-1,1.137727356E1,-9.260223508E-1,1.075274658E1
6.801226040E-1,1.081256771E1,-8.703892231E-1,1.026700401E1
6.901226040E-1,1.030947590E1,-1.120439172E0,9.579067230E0
7.001226040E-1,9.801001549E0,-1.703689694E0,8.691927910E0
7.101226040E-1,1.070489025E1,-2.630310297E0,8.512466431E0
7.201226040E-1,1.163809109E1,-2.950948477E0,8.643473625E0
7.301226040E-1,1.264247799E1,-3.042474031E0,8.833105087E0
7.401226040E-1,1.357508087E1,-2.565105915E0,9.160921097E0
7.501226040E-1,1.387179089E1,-1.748555183E0,9.473783493E0
7.601226040E-1,1.327298737E1,-8.219345808E-1,8.964710236E0
7.701226040E-1,1.274118233E1,-7.615157962E-1,8.359924316E0
7.801226040E-1,1.213699436E1,-6.466603279E-1,7.563114166E0
7.901226040E-1,1.143769264E1,-5.940182209E-1,6.699305058E0
8.001226040E-1,1.080957603E1,-7.567301393E-1,5.857629776E0
8.101226040E-1,1.107099247E1,-1.190429211E0,4.869394302E0
8.201226040E-1,1.127198887E1,-1.496710539E0,4.877768993E0
8.301226040E-1,1.108594704E1,-1.459023595E0,4.977669239E0
8.401226040E-1,1.097647572E1,-1.203589797E0,5.395814896E0
8.501226040E-1,1.112483025E1,-1.198804140E0,5.453841209E0
8.601226040E-1,1.088435173E1,-1.495514154E0,4.646263599E0
8.701226040E-1,1.062532902E1,-1.362712502E0,4.062414646E0
8.801226040E-1,1.038066292E1,-1.144367456E0,3.564707518E0
8.901226040E-1,1.007856941E1,-1.013360381E0,3.229114056E0
9.001226040E-1,9.839286804E0,-8.931210637E-1,3.123830080E0
9.101226040E-1,9.676574707E0,-8.362914920E-1,3.180659533E0
9.201226040E-1,9.247062683E0,-1.387837172E0,3.281157970E0
9.301226040E-1,8.922237396E0,-1.968096614E0,3.439084291E0
9.401226040E-1,8.541180611E0,-2.712862730E0,3.892524242E0
9.501226040E-1,8.231907845E0,-3.379263878E0,4.816154003E0
9.601226040E-1,8.122436523E0,-3.960121393E0,5.032105923E0
9.701226040E-1,7.921439171E0,-4.365106583E0,4.746163845E0
9.801226040E-1,7.882555962E0,-4.156332970E0,4.277768612E0
9.901226040E-1,7.857431412E0,-3.790230989E0,3.835096598E0
1.000122604E0,7.861618996E0,-3.548556089E0,3.506083488E0
1.010122604E0,7.880163193E0,-3.495315790E0,3.363112211E0
1.020122604E0,7.595417500E0,-3.975076675E0,4.264009953E0
1.030122604E0,7.213762283E0,-4.404588223E0,4.819743156E0
1.040122604E0,6.817151546E0,-4.850849628E0,4.911268711E0
1.050122604E0,6.315257072E0,-5.219942570E0,4.950151920E0
1.060122604E0,5.961717606E0,-5.211567879E0,5.102096081E0
1.070122604E0,5.560919762E0,-4.640281200E0,5.525625706E0
1.080122604E0,5.374877930E0,-4.308277130E0,5.991029739E0
1.090122604E0,5.203192711E0,-3.956532240E0,6.375676155E0
1.100122604E0,5.035097122E0,-3.576671600E0,6.085546017E0
1.110122604E0,5.177470207E0,-3.199203968E0,5.374877930E0
1.120122604E0,5.596213818E0,-2.442473650E0,4.581656933E0
1.130122604E0,5.692524910E0,-2.285743713E0,4.875376225E0
1.140122604E0,5.818148136E0,-2.376072884E0,5.511867046E0
1.150122604E0,5.891129494E0,-2.600998163E0,6.300900459E0
1.160122604E0,5.916254044E0,-2.802593470E0,7.080362320E0
1.170122604E0,6.032305717E0,-3.212364435E0,7.609774113E0
1.180122604E0,6.385845661E0,-3.349951744E0,7.481160164E0
1.190122604E0,6.624529362E0,-3.238087177E0,7.223931789E0
1.200122604E0,6.757929325E0,-2.998206854E0,7.125227451E0
1.210122604E0,7.216753006E0,-2.790629387E0,6.955935478E0
1.220122604E0,7.484150887E0,-2.708076954E0,6.747161865E0
1.230122604E0,7.859225750E0,-2.382055044E0,5.184648514E0
1.240122604E0,8.053643227E0,-2.190629244E0,4.435096741E0
1.250122604E0,7.899903774E0,-2.292324066E0,3.873381615E0
1.260122604E0,7.550551891E0,-2.740380049E0,3.553341627E0
1.270122604E0,7.158128738E0,-3.260818958E0,3.275176048E0
1.280122604E0,7.448856831E0,-3.719642878E0,2.531606436E0
1.290122604E0,7.687541008E0,-3.894917011E0,2.239083767E0
1.300122604E0,7.180262566E0,-4.085146427E0,1.996212244E0
1.310122604E0,6.534798622E0,-4.366901398E0,1.762313843E0
1.320122604E0,5.530411243E0,-4.476373196E0,1.618744493E0
1.330122604E0,1.576451397E1,-1.574896049E1,-6.161518097E-1
1.340122604E0,6.748358250E0,-9.705288887E0,2.184048891E0
1.350122604E0,5.108676434E0,-9.001798630E0,2.670988321E0
1.360122604E0,8.580063820E0,-9.514460564E0,2.498705149E0
1.370122604E0,5.615954876E0,-9.895518303E0,2.628515720E0
1.380122604E0,-3.891926050E0,-8.243872643E0,1.994417667E0
1.390122604E0,8.787640929E-1,-8.175078392E0,-1.463211060E0
1.400122604E0,-5.934200287E-1,-1.119661522E1,-2.143969059E0
1.410122604E0,1.844268084E0,-1.340638733E1,-5.108676553E-1
1.420122604E0,7.100701332E0,-1.508435440E1,-9.451649338E-2
1.430122604E0,1.032562828E1,-9.346963882E0,2.688336134E0
1.440122604E0,9.551549911E0,-5.699105263E0,4.016352654E0
1.450122604E0,1.240857983E1,-4.958526611E0,3.050250769E0
1.460122604E0,1.484686661E1,-4.774279594E0,-8.973085321E-3
1.470122604E0,1.401595879E1,-3.486342669E0,-1.799402595E0
1.480122604E0,1.260120201E1,-3.072384357E0,-1.562513232E0
1.490122604E0,5.520241737E0,-4.628915310E0,1.517647743E0
1.500122604E0,4.706083775E0,-3.530609846E0,1.042672515E0
1.510122604E0,6.192625046E0,-2.800798893E0,7.992027402E-1
1.520122604E0,9.385847092E0,-3.244069338E0,1.525424421E-1
1.530122604E0,1.139521980E1,-6.317051888E0,-1.992024779E-1
1.540122604E0,9.155537605E0,-1.464527130E1,-3.392424345E0
1.550122604E0,6.726822853E0,-1.844567108E1,-4.412364960E0
1.560122604E0,4.228117466E0,-2.047777557E1,-3.573082447E0
1.570122604E0,3.562314749E0,-1.935733604E1,-1.413560033E0
1.580122604E0,3.570689678E0,-1.732343864E1,1.615753531E0
1.590122604E0,6.270989895E0,-1.294636726E1,4.584648132E0
1.600122604E0,5.446662426E0,-1.221117210E1,3.934996843E0
1.610122604E0,6.103492260E0,-1.149212933E1,2.352144718E0
1.620122604E0,7.826922894E0,-1.088255692E1,7.633104324E-1
1.630122604E0,1.087657547E1,-9.409774780E0,6.406782866E-1
1.640122604E0,1.033101177E1,-1.115354443E1,5.382654667E0
1.650122604E0,8.891130447E0,-1.194018459E1,4.735395908E0
1.660122604E0,6.895516872E0,-1.187079334E1,1.021735311E0
1.670122604E0,5.115854740E0,-1.092921734E1,-2.014756680E0
1.680122604E0,5.181059361E0,-9.043074608E0,1.998006850E-1
1.690122604E0,2.997010469E0,-3.626920938E0,2.342573404E0
1.700122604E0,-3.306282759E0,-1.910070658E0,-3.536591768E0
1.710122604E0,-3.649652719E0,7.028916478E-1,-5.106283665E0
1.720122604E0,-1.628913999E0,2.584846735E0,-2.749951363E0
1.730122604E0,-1.984248161E0,2.785245657E0,-3.420539856E0
1.740122604E0,-6.640082598E-2,4.429114819E0,-2.736790895E0
1.750122604E0,8.919246197E-1,4.418945312E0,-1.813759565E0
1.760122604E0,1.696511269E0,3.509672642E0,-9.690931439E-1
1.770122604E0,2.234896421E0,9.840483069E-1,-3.320041299E-1
1.780122604E0,1.847259045E0,-5.081757069E0,7.100701332E-1
1.790122604E0,-2.380858511E-1,-1.252463150E1,1.310668588E0
1.800122604E0,-3.142972469E0,-1.073898792E1,3.097508907E0
1.810122604E0,9.891928673E0,-1.403330708E1,8.082356453E0
1.820122604E0,9.586245537E0,-1.922393799E1,9.421738982E-1
1.830122604E0,2.257628202E0,-1.019701385E1,-3.955934048E0
1.840122604E0,-2.613560438E0,-4.651049137E0,-4.432703972E0
1.850122604E0,8.490332603E0,-1.677189255E1,-1.680359721E0
1.860122604E0,-1.603191137E0,-1.872802544E1,-1.305105305E1
1.870122604E0,1.112183952E1,-1.833799362E1,-9.499505997E0
1.880122604E0,2.246381950E1,-1.288415337E1,-5.456233978E0
1.890122604E0,2.482912445E1,-4.520041943E0,-1.103689432E0
1.900122604E0,1.833380699E1,-9.469595909E0,4.974080086E0
1.910122604E0,1.113799095E1,-1.233260822E1,7.255038261E0
1.920122604E0,7.496115208E0,-1.178943729E1,2.642872572E0
1.930122604E0,6.839285374E0,-1.294696522E1,-1.345962763E0
1.940122604E0,6.422934055E0,-1.363430309E1,-4.752145767E0
1.950122604E0,6.019145489E0,-1.406441307E1,-3.309871912E0
1.960122604E0,8.086544037E0,-1.447657681E1,-2.227119684E0
1.970122604E0,1.263290691E1,-1.310249901E1,-2.455035925E0
1.980122604E0,1.403211021E1,-1.129232788E1,-2.398804724E-1
1.990122604E0,1.368574905E1,-7.762914658E0,2.410170555E0
2.000122604E0,1.185643578E1,-3.773481369E0,4.731806755E0
2.010122604E0,5.059623718E0,-5.304289818E0,2.976671457E0
2.020122604E0,-1.608455467E1,-1.377308750E1,-7.660023689E0
2.030122604E0,-1.461057472E1,-1.396810246E1,-9.967901230E0
2.040122604E0,-4.451248169E0,-7.456035137E0,-6.085546017E0
2.050122604E0,2.868396044E0,5.204389095E-1,-1.869392633E0
2.060122604E0,2.891128063E0,8.727820516E-1,6.658028960E-1
2.070122604E0,3.906282902E0,8.793623447E-1,1.345364571E0
2.080122604E0,5.121238708E0,2.189432681E-1,1.503290772E0
2.090122604E0,4.753940582E0,-4.959124923E-1,1.655833244E0
2.100122604E0,3.623929977E0,-1.972284079E0,3.583251834E-1
2.110122604E0,7.502097130E0,-8.001599312E0,7.589435101E0
2.120122604E0,5.841478348E0,-4.512265205E0,1.029691410E1
2.130122604E0,3.029911757E0,-1.245464206E0,5.671587944E0
2.140122604E0,1.473978758E0,-1.794616938E0,1.563111424E0
2.150122604E0,1.917249203E0,-3.136392355E0,3.397808075E-1
2.160122604E0,2.620140910E-1,-6.738786697E0,4.466801643E0
2.170122604E0,-1.430907965E0,-7.204789162E0,1.541576028E0
2.180122604E0,-2.506481707E-1,-7.655237675E0,-5.045864582E0
2.190122604E0,9.810572863E-1,-8.819944382E0,-9.200403214E0
2.200122604E0,2.619542599E0,-8.735597610E0,-1.018923664E1
2.210122604E0,4.086342812E0,-6.917052269E0,-4.660620213E0
2.220122604E0,7.349554539E0,-8.366504669E0,-3.647259951E0
2.230122604E0,9.945169449E0,-1.216331577E1,-2.296511650E0
2.240122604E0,1.069950676E1,-1.467039585E1,-3.803391695E0
2.250122604E0,9.833304405E0,-1.218365479E1,-6.587440968E0
2.260122604E0,6.558726788E0,-7.534400463E0,9.667003751E-1
2.270122604E0,5.599802971E0,-1.043988514E1,-1.349551916E0
2.280122604E0,4.605585575E0,-1.434018612E1,-2.297109842E0
2.290122604E0,5.762515068E0,-1.563171196E1,1.674975827E-2
2.300122604E0,8.500502586E0,-1.725763512E1,-1.376471281E0
2.310122604E0,8.507082939E0,-1.731266975E1,-2.470589429E-1
2.320122604E0,6.745367050E0,-1.569452381E1,-1.239482164E0
2.330122604E0,4.789234638E0,-1.388973713E1,-8.572286963E-1
2.340122604E0,4.413561344E0,-1.327597809E1,4.283152521E-1
2.350122604E0,3.763910055E0,-1.212862015E1,-1.745564103E0
2.360122604E0,1.719841242E0,-1.055474091E1,-2.614757061E0
2.370122604E0,1.100698471E0,-8.210970879E0,-3.244069338E0
2.380122604E0,1.004387259E0,-7.793423176E0,-3.533600807E0
2.390122604E0,1.396211982E0,-7.543373585E0,-3.583251953E0
2.400122604E0,1.969891191E0,-6.614359856E0,-3.594019651E0
2.410122604E0,2.376072884E0,-6.270989895E0,-3.399004459E0
2.420122604E0,1.950150430E-1,-3.985246181E0,-3.378665686E0
2.430122604E0,-2.303091735E-1,-4.133002758E0,-5.174478889E-1
2.440122604E0,2.624328136E0,-5.909075737E0,-7.812566161E-1
2.450122604E0,4.465605259E0,-7.619345665E0,-1.019940615E0
2.460122604E0,5.809773445E0,-8.280363083E0,-8.033902049E-1
2.470122604E0,6.777071953E0,-9.519845009E0,-6.394818425E-1
2.480122604E0,6.375676155E0,-1.023769188E1,-6.747759581E-1
2.490122604E0,5.725426197E0,-1.090887833E1,-6.478567123E-1
2.500122604E0,5.156532764E0,-1.145324516E1,-8.835497499E-1
2.510122604E0,4.328616142E0,-1.115533924E1,-1.186241865E0
2.520122604E0,6.215356588E-1,-5.566901684E0,-2.984447956E0
2.530122604E0,-4.151547253E-1,-8.225327730E-1,-4.131806374E0
2.540122604E0,-1.135394335E0,1.195214868E0,-2.373680115E0
2.550122604E0,-6.478567123E-1,-4.606183469E-1,-6.460621208E-2
2.560122604E0,1.010967568E-1,-3.039483070E0,7.310073376E-1
2.570122604E0,-2.117647976E-1,-4.395615101E0,-6.005984545E-1
2.580122604E0,-3.810569942E-1,-5.038087845E0,-1.979462504E0
2.590122604E0,-3.559323549E-1,-5.747560024E0,-1.734796405E0
2.600122604E0,-2.440679073E-1,-6.308676720E0,-7.663014531E-1
2.610122604E0,-1.142572835E-1,-7.000202656E0,-4.301098585E-1
2.620122604E0,4.181457460E-1,-1.104885864E1,-3.481557071E-1
2.630122604E0,2.416750938E-1,-1.169551849E1,-3.433700502E-1
2.640122604E0,4.169493318E-1,-1.203111267E1,1.292722464E0
2.650122604E0,9.445667267E-1,-1.202692509E1,2.237887383E0
2.660122604E0,1.456032634E0,-1.082692432E1,2.520838737E0
2.670122604E0,1.217348576E0,-9.870991707E0,3.613162339E-1
2.680122604E0,7.322037220E-1,-9.423533440E0,-8.009973764E-1
2.690122604E0,9.619147182E-1,-7.627720356E0,-2.141576260E-1
2.700122604E0,1.402194023E0,-6.686742783E0,1.286142170E-1
2.710122604E0,2.771486759E0,-1.375693512E1,2.047059774E0
2.720122604E0,3.713062525E0,-1.906959915E1,3.027518749E0
2.730122604E0,3.758526087E0,-2.407658195E1,3.206382275E0
2.740122604E0,3.540779352E0,-2.313022041E1,1.808973908E0
2.750122604E0,3.589832067E0,-2.224846458E1,1.818545163E-1
2.760122604E0,3.547957659E0,-2.123151588E1,-1.775474429E0
2.770122604E0,4.327419758E0,-1.824048615E1,-3.917648792E0
2.780122604E0,3.260818958E0,-1.130848026E1,-2.077568293E0
2.790122604E0,1.996212244E0,-1.012044334E1,-1.639083475E-1
2.800122604E0,1.538584948E0,-1.035972595E1,5.461617708E-1
2.810122604E0,1.677368641E0,-9.643673897E0,8.817551732E-1
2.820122604E0,1.878365755E0,-9.421140671E0,1.204786181E0
2.830122604E0,1.853241086E0,-8.950951576E0,3.266202807E-1
2.840122604E0,1.637288928E0,-8.671588898E0,-2.991028363E-3
2.850122604E0,1.450050473E0,-8.435297966E0,-3.326023519E-1
