"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.867184800E-2,-8.648324609E-1,-1.367269158E0,2.058615834E-1
4.705236300E-2,-8.898779750E-1,-1.432784438E0,2.556470931E-1
5.705236300E-2,-8.778133392E-1,-1.413236737E0,2.837468982E-1
6.705236300E-2,-8.694139719E-1,-1.398576021E0,2.948952019E-1
7.705236300E-2,-8.827002645E-1,-1.409724236E0,3.020728528E-1
8.705236300E-2,-8.924741149E-1,-1.417360067E0,3.179553747E-1
9.705236300E-2,-9.166033268E-1,-1.458135366E0,3.410155177E-1
1.070523630E-1,-1.067792416E0,-1.555721045E0,3.969096839E-1
1.170523630E-1,-1.132086039E0,-1.506393671E0,4.277583957E-1
1.270523630E-1,-1.234711409E0,-1.441489220E0,4.575380683E-1
1.370523630E-1,-1.353677392E0,-1.344667077E0,4.595233798E-1
1.470523630E-1,-1.399339557E0,-1.200502872E0,4.531092942E-1
1.570523630E-1,-1.392772794E0,-1.138958216E0,4.082106948E-1
1.670523630E-1,-1.305724502E0,-1.125366449E0,3.605632186E-1
1.770523630E-1,-1.175915599E0,-1.094517827E0,3.408628106E-1
1.870523630E-1,-1.004873276E0,-1.022741079E0,3.544545472E-1
1.970523630E-1,-8.229882121E-1,-9.153815508E-1,3.791945875E-1
2.070523630E-1,-5.352706909E-1,-7.331910133E-1,3.808744848E-1
2.170523630E-1,-4.317290187E-1,-8.788823485E-1,3.127630055E-1
2.270523630E-1,-3.671300113E-1,-1.191339970E0,2.035708427E-1
2.370523630E-1,-3.468187451E-1,-1.589013219E0,1.049161032E-1
2.470523630E-1,-3.703370690E-1,-2.030363321E0,5.009094998E-2
2.570523630E-1,-6.333145499E-1,-3.137861967E0,4.703662544E-2
2.670523630E-1,-8.605564237E-1,-3.585473537E0,6.459899992E-2
2.770523630E-1,-1.056949615E0,-3.579517603E0,1.357648075E-1
2.870523630E-1,-1.102459073E0,-3.113885641E0,3.178026378E-1
2.970523630E-1,-9.662361145E-1,-2.525469542E0,5.978843570E-1
3.070523630E-1,-5.778785348E-1,-2.074956417E0,1.029307961E0
3.170523630E-1,-4.871650338E-1,-1.951561689E0,1.079856992E0
3.270523630E-1,-4.214970171E-1,-1.895514846E0,1.051909924E0
3.370523630E-1,-2.139555514E-1,-2.006997824E0,1.014341712E0
3.470523630E-1,-5.177082866E-2,-1.793042183E0,1.003040791E0
3.570523630E-1,-9.621127509E-3,-1.390482068E0,1.005178809E0
3.670523630E-1,-2.244929820E-1,-2.510656118E-1,1.147052169E0
3.770523630E-1,-4.205807149E-1,6.414084882E-2,1.168737888E0
3.870523630E-1,-5.966626406E-1,2.167044431E-1,1.155146122E0
3.970523630E-1,-6.916521788E-1,2.696970105E-1,1.158047795E0
4.070523630E-1,-7.119634151E-1,2.189951837E-1,1.176068306E0
4.170523630E-1,-7.162395120E-1,-4.146247804E-1,1.127504468E0
4.270523630E-1,-6.600399017E-1,-1.301601171E0,9.054549932E-1
4.370523630E-1,-5.904012322E-1,-2.541810274E0,5.409211516E-1
4.470523630E-1,-5.742133260E-1,-3.480099201E0,1.989893466E-1
4.570523630E-1,-5.519167781E-1,-4.304003716E0,3.817907721E-2
4.670523630E-1,-2.272418737E-1,-5.461898804E0,3.390302062E-1
4.770523630E-1,2.794708498E-2,-5.536271572E0,7.667886019E-1
4.870523630E-1,2.984076738E-1,-5.195256233E0,1.266170979E0
4.970523630E-1,5.604688525E-1,-4.547433376E0,1.703855872E0
5.070523630E-1,5.784893632E-1,-3.807065010E0,1.986075640E0
5.170523630E-1,-4.552473128E-1,-2.475378752E0,1.850921750E0
5.270523630E-1,-7.026477456E-1,-2.405282021E0,1.998292923E0
5.370523630E-1,-9.659306407E-1,-2.348013401E0,2.191937208E0
5.470523630E-1,-1.233489633E0,-2.115426302E0,2.365728378E0
5.570523630E-1,-1.368949056E0,-1.960877419E0,2.537687063E0
5.670523630E-1,-1.146135926E0,-1.996307611E0,2.727666140E0
5.770523630E-1,-9.274461865E-1,-1.894445896E0,2.696053743E0
5.870523630E-1,-7.279986739E-1,-1.724778056E0,2.575713396E0
5.970523630E-1,-5.881105065E-1,-1.623221636E0,2.458885431E0
6.070523630E-1,-4.857905805E-1,-1.657735586E0,2.480418444E0
6.170523630E-1,-3.491095006E-1,-2.120160580E0,2.787836313E0
6.270523630E-1,-2.826778889E-1,-2.469422817E0,2.878549814E0
6.370523630E-1,-2.376265824E-1,-2.653140545E0,2.938567162E0
6.470523630E-1,-1.264491081E-1,-3.048217535E0,3.003471613E0
6.570523630E-1,1.027780771E-1,-3.358689785E0,3.079524517E0
6.670523630E-1,3.466660380E-1,-3.417638302E0,3.147177696E0
6.770523630E-1,6.072000265E-1,-2.987131119E0,3.186883926E0
6.870523630E-1,5.960517526E-1,-2.637868881E0,3.171612263E0
6.970523630E-1,5.195409060E-1,-2.372753382E0,3.209791422E0
7.070523630E-1,4.387539625E-1,-2.284941435E0,3.338684082E0
7.170523630E-1,3.875939846E-1,-2.306932688E0,3.454595566E0
7.270523630E-1,4.303545654E-1,-2.524247885E0,3.364187717E0
7.370523630E-1,5.297728777E-1,-2.651918650E0,3.153439045E0
7.470523630E-1,6.542366743E-1,-2.597398996E0,2.845868349E0
7.570523630E-1,7.886270285E-1,-2.220036983E0,2.498438835E0
7.670523630E-1,9.191994667E-1,-1.597565293E0,2.181705236E0
7.770523630E-1,1.143997908E0,-1.620320082E-1,1.759291887E0
7.870523630E-1,1.216232657E0,4.134030640E-1,1.594969153E0
7.970523630E-1,1.236085773E0,8.336783648E-1,1.444696307E0
8.070523630E-1,1.203099132E0,1.043815970E0,1.291980028E0
8.170523630E-1,1.119410515E0,1.050077319E0,1.123686671E0
8.270523630E-1,8.156577945E-1,1.077413559E0,8.827002645E-1
8.370523630E-1,6.633996367E-1,1.293048978E0,8.156577945E-1
8.470523630E-1,5.348125100E-1,1.606117487E0,7.015787363E-1
8.570523630E-1,4.199698567E-1,1.881617665E0,5.384777188E-1
8.670523630E-1,3.026837409E-1,2.046856642E0,3.674354553E-1
8.770523630E-1,6.475171447E-2,1.876883507E0,3.970624134E-2
8.870523630E-1,-8.093964309E-3,1.575268745E0,-1.168279797E-1
8.970523630E-1,-3.527746722E-2,1.243568897E0,-2.674062550E-1
9.070523630E-1,-3.711006418E-2,9.527970552E-1,-4.375322461E-1
9.170523630E-1,-2.229658142E-2,7.050912380E-1,-6.291912198E-1
9.270523630E-1,3.481931984E-2,2.881756723E-1,-9.404270649E-1
9.370523630E-1,5.345070735E-2,1.513418704E-1,-9.973902106E-1
9.470523630E-1,3.405573592E-2,2.419026345E-1,-1.007774949E0
9.570523630E-1,-3.069597855E-2,5.560401082E-1,-9.657779336E-1
9.670523630E-1,-1.269072592E-1,9.320276380E-1,-8.646797538E-1
9.770523630E-1,-2.487748712E-1,1.313665748E0,-7.367035151E-1
9.870523630E-1,-5.426010489E-1,1.813353539E0,-5.528330207E-1
9.970523630E-1,-6.711881757E-1,1.891544223E0,-5.375614166E-1
1.007052363E0,-7.741189599E-1,1.874592662E0,-5.679519773E-1
1.017052363E0,-8.542950749E-1,1.791973233E0,-6.403394938E-1
1.027052363E0,-8.964447379E-1,1.714698792E0,-7.237225771E-1
1.037052363E0,-8.362745047E-1,1.589471340E0,-7.768678665E-1
1.047052363E0,-7.214318514E-1,1.417360067E0,-6.876815557E-1
1.057052363E0,-5.897904038E-1,1.185231328E0,-5.682573915E-1
1.067052363E0,-4.431827366E-1,9.176723361E-1,-4.637994468E-1
1.077052363E0,-2.696970105E-1,6.531676650E-1,-3.898847401E-1
1.087052363E0,1.125519201E-1,4.080579877E-1,-2.990185320E-1
1.097052363E0,2.681698501E-1,4.314235747E-1,-2.209804952E-1
1.107052363E0,3.732386529E-1,3.730859458E-1,-1.165225431E-1
1.117052363E0,4.088215530E-1,1.548543423E-1,-4.214970022E-2
1.127052363E0,3.816380501E-1,-1.679879427E-1,-2.183843218E-2
1.137052363E0,3.003929853E-1,-8.268061280E-1,-7.895433158E-2
1.147052363E0,3.217732608E-1,-1.103680730E0,-7.559457421E-2
1.157052363E0,3.753767014E-1,-1.283733368E0,-1.191187184E-2
1.167052363E0,4.366159439E-1,-1.370934367E0,1.548543423E-1
