"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.971902700E-2,-2.903690338E0,-9.379266739E0,2.067996979E0
3.595774600E-2,-2.961117983E0,-9.229117393E0,1.800599098E0
4.595774600E-2,-2.923431158E0,-9.113064766E0,1.633699656E0
5.595774600E-2,-2.894717216E0,-9.007781029E0,1.596012712E0
6.595774600E-2,-2.880360365E0,-8.969495773E0,1.639681697E0
7.595774600E-2,-2.837289333E0,-8.965308189E0,1.725823283E0
8.595774600E-2,-2.818146944E0,-9.099306107E0,1.739582062E0
9.595774600E-2,-2.784647465E0,-9.219545364E0,1.791625977E0
1.059577460E-1,-2.808575630E0,-9.242876053E0,1.690529227E0
1.159577460E-1,-2.827718258E0,-9.256634712E0,1.647458434E0
1.259577460E-1,-2.837289333E0,-9.262018204E0,1.671386600E0
1.359577460E-1,-2.837289333E0,-9.238089561E0,1.728814363E0
1.459577460E-1,-2.851646423E0,-9.123832703E0,1.767697692E0
1.559577460E-1,-2.846860647E0,-9.133403778E0,1.782054663E0
1.659577460E-1,-2.813361168E0,-9.142974854E0,1.772483349E0
1.759577460E-1,-2.746362209E0,-9.157332420E0,1.816152334E0
1.859577460E-1,-2.702693224E0,-9.209974289E0,1.858624935E0
1.959577460E-1,-2.760719061E0,-9.339186668E0,1.771885157E0
2.059577460E-1,-2.760719061E0,-9.339186668E0,1.771885157E0
2.159577460E-1,-2.812762976E0,-9.325428009E0,1.862812400E0
2.259577460E-1,-2.812762976E0,-9.281759262E0,1.843669891E0
2.359577460E-1,-2.822334290E0,-9.238688469E0,1.800599098E0
2.459577460E-1,-2.832503796E0,-9.180662155E0,1.671984792E0
2.559577460E-1,-2.746362209E0,-9.137591362E0,1.686939955E0
2.659577460E-1,-2.741576433E0,-9.132805824E0,1.763510346E0
2.759577460E-1,-2.808575630E0,-9.151350021E0,1.662413478E0
2.859577460E-1,-2.799004316E0,-9.155537605E0,1.561915040E0
2.959577460E-1,-2.650649309E0,-9.208778381E0,1.619940877E0
3.059577460E-1,-2.674577475E0,-9.233304024E0,1.767697692E0
3.159577460E-1,-2.688336134E0,-9.267401695E0,1.844268084E0
3.259577460E-1,-2.736790895E0,-9.281160355E0,1.762313843E0
3.359577460E-1,-2.736790895E0,-9.237491608E0,1.671984792E0
3.459577460E-1,-2.727219582E0,-9.203991890E0,1.633699656E0
3.559577460E-1,-2.636292458E0,-9.304491043E0,1.619342685E0
3.659577460E-1,-2.559721947E0,-9.434301376E0,1.709671736E0
3.759577460E-1,-2.602792740E0,-9.491728783E0,1.704287887E0
3.859577460E-1,-2.751147747E0,-9.510273933E0,1.641476393E0
3.959577460E-1,-2.779861689E0,-9.404989243E0,1.608574986E0
4.059577460E-1,-2.722434044E0,-9.155537605E0,1.572084427E0
4.159577460E-1,-2.722434044E0,-9.132207870E0,1.591227055E0
4.259577460E-1,-2.775076151E0,-9.117850304E0,1.639083505E0
4.359577460E-1,-2.866003275E0,-9.151350021E0,1.590628862E0
4.459577460E-1,-2.832503796E0,-9.213563919E0,1.570888042E0
4.559577460E-1,-2.818146944E0,-9.309276581E0,1.579861164E0
4.659577460E-1,-2.775076151E0,-9.290133476E0,1.623530149E0
4.759577460E-1,-2.760719061E0,-9.290732384E0,1.709671736E0
4.859577460E-1,-2.736790895E0,-9.267401695E0,1.805982947E0
4.959577460E-1,-2.746362209E0,-9.242876053E0,1.753340840E0
5.059577460E-1,-2.741576433E0,-9.271589279E0,1.738385677E0
5.159577460E-1,-2.746362209E0,-9.285946846E0,1.714457393E0
5.259577460E-1,-2.779861689E0,-9.271589279E0,1.676172256E0
5.359577460E-1,-2.813361168E0,-9.237491608E0,1.647458434E0
5.459577460E-1,-2.846860647E0,-9.189635277E0,1.628913999E0
5.559577460E-1,-2.837289333E0,-9.151947975E0,1.695913076E0
5.659577460E-1,-2.818146944E0,-9.123234749E0,1.730010748E0
5.759577460E-1,-2.770290375E0,-9.156734467E0,1.748555183E0
5.859577460E-1,-2.755933523E0,-9.228518486E0,1.710269928E0
5.959577460E-1,-2.765504837E0,-9.242277145E0,1.648056626E0
6.059577460E-1,-2.736790895E0,-9.237491608E0,1.609771490E0
6.159577460E-1,-2.717648268E0,-9.227920532E0,1.600200176E0
6.259577460E-1,-2.693720102E0,-9.261420250E0,1.638485312E0
6.359577460E-1,-2.684148788E0,-9.299705505E0,1.652244091E0
6.459577460E-1,-2.703291416E0,-9.328418732E0,1.637887120E0
6.559577460E-1,-2.760719061E0,-9.314062119E0,1.594816327E0
6.659577460E-1,-2.803789854E0,-9.266205788E0,1.623530149E0
6.759577460E-1,-2.813361168E0,-9.266205788E0,1.599601984E0
6.859577460E-1,-2.842075109E0,-9.279964447E0,1.537388563E0
6.959577460E-1,-2.856431961E0,-9.308079720E0,1.450648785E0
7.059577460E-1,-2.827718258E0,-9.308678627E0,1.488933921E0
7.159577460E-1,-2.775076151E0,-9.222537041E0,1.537986755E0
7.259577460E-1,-2.746960402E0,-9.183652878E0,1.480558991E0
7.359577460E-1,-2.713460922E0,-9.178867340E0,1.437488198E0
7.459577460E-1,-2.756531715E0,-9.062217712E0,1.194018483E0
7.559577460E-1,-2.752344131E0,-9.095717430E0,1.155733347E0
7.659577460E-1,-2.631506681E0,-9.439684868E0,1.809572101E0
7.759577460E-1,-2.697907448E0,-9.655637741E0,1.942373753E0
7.859577460E-1,-2.708076954E0,-9.573084831E0,1.717448473E0
7.959577460E-1,-2.742174864E0,-9.418149948E0,1.402792215E0
8.059577460E-1,-2.780459881E0,-9.292527199E0,1.197009563E0
8.159577460E-1,-2.813959360E0,-9.269196510E0,1.360319614E0
8.259577460E-1,-2.846860647E0,-9.274580956E0,1.450648785E0
8.359577460E-1,-2.861217737E0,-9.256035805E0,1.503889084E0
8.459577460E-1,-2.952144861E0,-9.269794464E0,1.426720500E0
8.559577460E-1,-3.000599623E0,-9.254839897E0,1.311864972E0
8.659577460E-1,-3.067598581E0,-8.980861664E0,1.068993568E0
8.759577460E-1,-2.900100946E0,-9.211769104E0,1.307677627E0
8.859577460E-1,-3.014358282E0,-9.202795982E0,1.369292736E0
8.959577460E-1,-3.047857761E0,-9.341579437E0,1.353739381E0
9.059577460E-1,-2.956930637E0,-9.380462646E0,1.478764415E0
9.159577460E-1,-2.833101988E0,-9.436694145E0,1.325623751E0
9.259577460E-1,-2.742174864E0,-9.445667267E0,1.225125194E0
9.359577460E-1,-2.627319336E0,-9.469595909E0,1.264008522E0
9.459577460E-1,-2.536391973E0,-9.455837250E0,1.402792215E0
9.559577460E-1,-2.469393015E0,-9.422935486E0,1.475175142E0
9.659577460E-1,-2.455035925E0,-9.384650230E0,1.509272933E0
9.759577460E-1,-2.334796667E0,-9.385847092E0,1.691725612E0
9.859577460E-1,-2.339582443E0,-9.419944763E0,1.801795483E0
9.959577460E-1,-2.377867460E0,-9.449256897E0,1.901695848E0
1.005957746E0,-2.415554523E0,-9.368498802E0,1.993221283E0
1.015957746E0,-2.526222467E0,-9.210572243E0,1.922034740E0
1.025957746E0,-2.674577475E0,-9.017950058E0,1.702493310E0
1.035957746E0,-2.655434847E0,-8.980263710E0,1.793420553E0
1.045957746E0,-2.631506681E0,-8.908478737E0,1.798804402E0
1.055957746E0,-2.650649309E0,-8.816354752E0,1.651047587E0
1.065957746E0,-2.608176708E0,-8.743971825E0,1.599003673E0
1.075957746E0,-2.254039049E0,-8.620143890E0,1.706082582E0
1.085957746E0,-1.986042738E0,-8.438887596E0,1.794616938E0
1.095957746E0,-1.947757602E0,-8.142775536E0,1.883151412E0
1.105957746E0,-1.957927108E0,-7.764709473E0,1.890329838E0
1.115957746E0,-1.919641972E0,-7.324429989E0,1.974676847E0
1.125957746E0,-1.933998942E0,-6.464210510E0,2.171486616E0
1.135957746E0,-1.805384636E0,-5.908477306E0,2.099103689E0
1.145957746E0,-1.609173179E0,-5.702096462E0,2.000399828E0
1.155957746E0,-1.389033556E0,-6.022734642E0,2.061416626E0
1.165957746E0,-1.345364571E0,-6.789634228E0,2.171486616E0
1.175957746E0,-2.411366940E0,-7.121638298E0,2.318645239E0
1.185957746E0,-1.998006940E0,-6.628716946E0,3.946362734E0
1.195957746E0,-2.068595171E0,-6.598806858E0,4.439882278E0
1.205957746E0,-2.498705149E0,-6.527620316E0,4.539184570E0
1.215957746E0,-3.006581545E0,-6.175875187E0,4.070191383E0
1.225957746E0,-2.491526604E0,-5.137988567E0,3.523431301E0
1.235957746E0,-1.754537225E0,-4.983651161E0,4.188037872E0
1.245957746E0,-1.179063320E0,-5.097908497E0,4.850251675E0
1.255957746E0,-1.012163997E0,-5.527420521E0,4.756931305E0
1.265957746E0,-1.031306505E0,-6.042475224E0,4.394418716E0
1.275957746E0,-1.285543919E0,-6.580860615E0,4.007379532E0
1.285957746E0,-2.512463808E0,-7.697710514E0,4.857429981E0
1.295957746E0,-3.060420275E0,-7.503293514E0,5.871388435E0
1.305957746E0,-3.290131092E0,-7.140780926E0,6.045466423E0
1.315957746E0,-3.110669374E0,-6.897311211E0,4.663611412E0
1.325957746E0,-2.486740828E0,-6.786643028E0,3.105883837E0
1.335957746E0,-1.534995675E0,-6.714260101E0,3.138785124E0
1.345957746E0,-1.749751568E0,-6.856633186E0,3.682554007E0
1.355957746E0,-1.865803480E0,-7.150950432E0,5.571687698E0
1.365957746E0,-1.296311617E0,-7.250252724E0,8.456234932E0
1.375957746E0,-1.492523074E0,-6.848856449E0,8.491529465E0
1.385957746E0,-2.070389748E0,-6.321238995E0,9.043074608E0
1.395957746E0,-2.101496458E0,-6.058028698E0,1.051944637E1
1.405957746E0,-2.593819857E0,-5.816353798E0,1.083529949E1
1.415957746E0,-3.564707518E0,-6.226722717E0,1.053200912E1
1.425957746E0,-4.402195454E0,-7.232904434E0,9.799206734E0
1.435957746E0,-5.286941528E0,-8.653044701E0,9.485149384E0
1.445957746E0,-5.023132801E0,-9.028120041E0,9.838089943E0
1.455957746E0,-4.263411522E0,-8.986844063E0,9.501300812E0
1.465957746E0,-3.574877024E0,-9.292527199E0,9.454640388E0
1.475957746E0,-2.810968399E0,-9.437891006E0,1.138624668E1
1.485957746E0,-1.462612867E0,-9.098708153E0,1.160877895E1
1.495957746E0,-1.056431174E0,-8.577073097E0,1.165663528E1
1.505957746E0,-8.943174481E-1,-7.395018578E0,1.174636650E1
1.515957746E0,-7.561319470E-1,-6.976274490E0,1.138564873E1
1.525957746E0,-1.053440213E0,-6.801000118E0,1.081615639E1
1.535957746E0,-1.207777262E0,-6.194419384E0,1.030169964E1
1.545957746E0,-1.071984529E0,-5.120042324E0,9.122037888E0
1.555957746E0,-9.906286001E-1,-4.840680122E0,8.908478737E0
1.565957746E0,-8.572286963E-1,-4.834099770E0,8.660223007E0
1.575957746E0,-8.195417523E-1,-4.951946259E0,8.352746010E0
1.585957746E0,-8.344969153E-1,-5.017749310E0,8.117650986E0
1.595957746E0,-1.164706469E0,-4.643272400E0,7.932207108E0
1.605957746E0,-1.546959877E0,-4.343571186E0,8.129016876E0
1.615957746E0,-1.925025821E0,-4.219742775E0,8.152346611E0
1.625957746E0,-1.587039590E0,-4.256831646E0,7.296314240E0
1.635957746E0,-1.129412293E0,-4.131208420E0,6.431907177E0
1.645957746E0,-1.098903775E0,-3.059223652E0,7.899305820E0
1.655957746E0,-8.560323119E-1,-3.522833109E0,7.064210415E0
1.665957746E0,-3.589234054E-1,-3.697509289E0,6.820741177E0
1.675957746E0,-5.742774159E-2,-3.503690481E0,7.215556622E0
1.685957746E0,-6.873382926E-1,-3.168695450E0,7.890930653E0
1.695957746E0,-6.867401004E-1,-2.569293261E0,8.425726891E0
1.705957746E0,-7.567301393E-1,-1.181456208E0,9.942776680E0
1.715957746E0,-1.156331539E0,-2.158924341E0,1.086879826E1
1.725957746E0,-1.265803218E0,-2.318047047E0,1.101595688E1
1.735957746E0,-1.099501967E0,-1.807777524E0,1.059362411E1
1.745957746E0,1.968096644E-1,-8.536394835E-1,1.127019501E1
1.755957746E0,5.736792088E-1,-2.476571500E-1,1.083529949E1
1.765957746E0,6.634100676E-1,7.178468257E-2,1.023410225E1
1.775957746E0,5.730810165E-1,-5.599204898E-1,1.024427223E1
1.785957746E0,3.726821244E-1,-1.255633712E0,1.049731255E1
1.795957746E0,1.064806059E-1,2.733799815E-1,1.163629627E1
1.805957746E0,1.698904037E-1,7.782655358E-1,1.272682571E1
1.815957746E0,2.189432681E-1,7.220342159E-1,1.332503128E1
1.825957746E0,4.707878530E-1,1.022931710E-1,1.227817154E1
1.835957746E0,5.306084156E-1,-6.197410822E-1,1.067438221E1
1.845957746E0,1.764706671E-1,-4.127618968E-1,1.039202881E1
