"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.271354400E-2,8.231408894E-2,7.192938030E-2,-1.603521220E-2
6.109328400E-2,5.726861581E-2,1.108720452E-1,-1.450804994E-2
7.109328400E-2,4.474587739E-2,1.438587606E-1,-1.313360315E-2
8.109328400E-2,4.688390717E-2,1.684460938E-1,-1.053742506E-2
9.109328400E-2,5.665775016E-2,1.769981980E-1,-3.207042580E-3
1.010932840E-1,5.772676691E-2,1.831068546E-1,2.901609987E-3
1.110932840E-1,5.054909736E-2,1.733330190E-1,6.566801574E-3
1.210932840E-1,3.039054573E-2,1.056796908E-1,3.817907767E-3
1.310932840E-1,2.092213556E-2,7.360926270E-2,4.886921961E-3
1.410932840E-1,1.130100712E-2,5.268712714E-2,4.734205548E-3
1.510932840E-1,1.679879380E-3,3.176499158E-2,9.468411095E-3
1.610932840E-1,-5.497787148E-3,2.550362423E-2,1.191187184E-2
1.710932840E-1,-6.872233935E-3,2.794708498E-2,1.435533352E-2
1.810932840E-1,3.970623948E-3,5.009094998E-2,4.734205548E-3
1.910932840E-1,1.496619824E-2,5.772676691E-2,-5.039638374E-3
2.010932840E-1,1.511891466E-2,3.802636266E-2,-7.483099122E-3
2.110932840E-1,7.941247895E-3,1.954768784E-2,-5.192354787E-3
2.210932840E-1,6.872233935E-3,7.330383174E-3,3.359758761E-3
2.310932840E-1,1.069014147E-2,-7.330383174E-3,6.872233935E-3
2.410932840E-1,1.343903504E-2,-2.580905706E-2,1.527163107E-2
2.510932840E-1,9.926560335E-3,-4.795292020E-2,2.611448988E-2
2.610932840E-1,2.748893574E-3,-5.787948146E-2,3.100141138E-2
2.710932840E-1,1.572977938E-2,-9.926560335E-3,3.130684420E-2
2.810932840E-1,3.512475174E-3,-1.618792862E-2,3.130684420E-2
2.910932840E-1,-1.725694351E-2,-2.748893574E-2,2.871066704E-2
3.010932840E-1,-3.695734590E-2,-2.397646010E-2,1.786780916E-2
3.110932840E-1,-3.741549700E-2,1.298088674E-2,9.162978968E-4
3.210932840E-1,-3.741549700E-2,1.298088674E-2,9.162978968E-4
3.310932840E-1,-6.261368748E-3,9.422596544E-2,-4.734205548E-3
3.410932840E-1,-1.099557430E-2,7.819075137E-2,-7.330383174E-3
3.510932840E-1,-2.183843218E-2,5.604688451E-2,-8.552113548E-3
3.610932840E-1,-2.916881628E-2,4.734205827E-2,-8.704829961E-3
3.710932840E-1,-3.054326214E-2,6.337726861E-2,-1.466076635E-2
3.810932840E-1,-1.359175146E-2,8.933904022E-2,-3.161227703E-2
3.910932840E-1,-1.466076635E-2,6.841690838E-2,-1.710422710E-2
4.010932840E-1,-2.428189293E-2,4.627304152E-2,-1.237002108E-2
4.110932840E-1,-3.145955876E-2,2.779436857E-2,-1.481348183E-2
4.210932840E-1,-3.390302137E-2,2.657263726E-2,-1.725694351E-2
4.310932840E-1,-1.313360315E-2,4.886921868E-2,-8.704829961E-3
4.410932840E-1,4.123340361E-3,3.802636266E-2,-2.596177394E-3
4.510932840E-1,1.175915636E-2,1.970040426E-2,-2.748893574E-3
4.610932840E-1,1.069014147E-2,-1.221730490E-3,-4.581489484E-4
4.710932840E-1,4.734205548E-3,-2.458732575E-2,-1.832595794E-3
4.810932840E-1,2.443460980E-3,-3.436116874E-2,-5.497787148E-3
4.910932840E-1,5.955935922E-3,-1.343903504E-2,-5.345070735E-3
5.010932840E-1,3.359758761E-3,1.221730490E-3,-5.345070735E-3
5.110932840E-1,1.985311974E-3,1.221730467E-2,-3.970623948E-3
5.210932840E-1,7.941247895E-3,1.832595654E-2,-5.192354787E-3
5.310932840E-1,3.130684420E-2,2.351831272E-2,-7.635815535E-3
5.410932840E-1,3.130684420E-2,2.107485011E-2,-5.192354787E-3
5.510932840E-1,2.397646010E-2,1.603521220E-2,-3.054326226E-4
5.610932840E-1,1.664607786E-2,1.725694351E-2,4.581489135E-3
5.710932840E-1,1.038470957E-2,2.687807009E-2,9.468411095E-3
5.810932840E-1,1.252273750E-2,4.902193695E-2,7.177666761E-3
5.910932840E-1,1.389718428E-2,4.535674304E-2,9.621127509E-3
6.010932840E-1,1.038470957E-2,3.054326214E-2,1.313360315E-2
6.110932840E-1,4.276056774E-3,1.939497143E-2,1.557706390E-2
6.210932840E-1,-2.901609987E-3,5.955935922E-3,1.679879427E-2
6.310932840E-1,8.093964309E-3,1.343903504E-2,1.313360315E-2
6.410932840E-1,2.015855350E-2,2.458732575E-2,1.069014147E-2
6.510932840E-1,2.153299935E-2,2.336559631E-2,1.191187184E-2
6.610932840E-1,2.031126991E-2,1.725694351E-2,1.557706390E-2
6.710932840E-1,1.679879427E-2,8.552113548E-3,1.908953860E-2
6.810932840E-1,1.557706390E-2,6.108652335E-3,2.153299935E-2
6.910932840E-1,1.084285788E-2,-1.114829071E-2,2.397646010E-2
7.010932840E-1,7.177666761E-3,-1.618792862E-2,2.641992271E-2
7.110932840E-1,-3.054326226E-4,-1.007927675E-2,3.008511290E-2
7.210932840E-1,-1.007927675E-2,-1.023199316E-2,3.252857551E-2
7.310932840E-1,-1.970040426E-2,-2.626720630E-2,3.848451003E-2
7.410932840E-1,-6.307183951E-2,-1.102611795E-1,4.917465150E-2
7.510932840E-1,-1.429424733E-1,-2.092213482E-1,5.971207842E-2
7.610932840E-1,-1.866193265E-1,-1.496619880E-1,5.772676691E-2
7.710932840E-1,-1.165225431E-1,-3.726277873E-2,5.085453019E-2
7.810932840E-1,-1.114829071E-2,-2.611448988E-2,3.726277873E-2
7.910932840E-1,9.422596544E-2,-4.123340361E-3,3.481931984E-2
8.010932840E-1,6.123924255E-2,-1.802052557E-2,3.848451003E-2
8.110932840E-1,1.374446787E-2,-4.795292020E-2,4.199698567E-2
8.210932840E-1,-1.313360315E-2,-6.918048859E-2,4.321871698E-2
8.310932840E-1,-6.872233935E-3,-8.261952549E-2,4.795292020E-2
8.410932840E-1,5.222897977E-2,-9.178250283E-2,6.246097013E-2
8.510932840E-1,7.574728876E-2,-1.038470939E-1,7.330382615E-2
8.610932840E-1,8.811730891E-2,-1.221730486E-1,8.185594529E-2
8.710932840E-1,6.887505949E-2,-1.580613852E-1,1.108720452E-1
8.810932840E-1,3.695734590E-2,-1.511891484E-1,1.122464910E-1
8.910932840E-1,1.398881376E-1,-1.279762685E-1,1.220203340E-1
9.010932840E-1,2.052507252E-1,-1.641700417E-1,1.351539344E-1
9.110932840E-1,2.680171132E-1,-1.684460938E-1,1.484402567E-1
9.210932840E-1,3.147483170E-1,-1.850921661E-1,1.605048478E-1
9.310932840E-1,3.397938013E-1,-2.278527319E-1,1.748601794E-1
9.410932840E-1,3.788891733E-1,-3.170390725E-1,1.986839175E-1
9.510932840E-1,3.964515328E-1,-3.426954150E-1,2.107485086E-1
9.610932840E-1,4.040873647E-1,-3.744603992E-1,2.228130996E-1
9.710932840E-1,4.082106948E-1,-4.112650156E-1,2.310597748E-1
9.810932840E-1,4.208861589E-1,-4.442517459E-1,2.284636050E-1
9.910932840E-1,4.604396820E-1,-4.755585790E-1,2.134974003E-1
1.001093284E0,6.047565937E-1,-5.351179838E-1,2.008219510E-1
1.011093284E0,6.834055185E-1,-5.453499556E-1,2.054034323E-1
1.021093284E0,7.388415337E-1,-5.546656251E-1,2.174680233E-1
1.031093284E0,7.622070909E-1,-5.655084848E-1,2.321287990E-1
1.041093284E0,7.780895829E-1,-5.568036437E-1,2.467895597E-1
1.051093284E0,8.443684578E-1,-5.523748994E-1,2.527455091E-1
1.061093284E0,8.779660463E-1,-5.876523852E-1,2.587014437E-1
1.071093284E0,9.101892114E-1,-6.265950203E-1,2.681698501E-1
1.081093284E0,9.411906004E-1,-6.531676650E-1,2.641992271E-1
1.091093284E0,9.831876159E-1,-6.747006774E-1,2.432770878E-1
1.101093284E0,1.101848245E0,-7.454082966E-1,1.939497143E-1
1.111093284E0,1.187522054E0,-8.387179971E-1,1.652390510E-1
1.121093284E0,1.293812633E0,-9.083566070E-1,1.291979998E-1
1.131093284E0,1.397201538E0,-9.254608750E-1,9.239336848E-2
1.141093284E0,1.505172014E0,-9.288206100E-1,4.214970022E-2
1.151093284E0,1.726305127E0,-9.503536224E-1,-6.948592514E-2
1.161093284E0,1.811979055E0,-9.248499870E-1,-8.536841720E-2
1.171093284E0,1.782046676E0,-7.622070909E-1,-5.146539584E-2
1.181093284E0,1.725694299E0,-8.836165667E-1,6.154467165E-2
1.191093284E0,1.820378423E0,-1.124297500E0,1.039998084E-1
1.201093284E0,2.058463097E0,-1.329089999E0,1.415680200E-1
1.211093284E0,2.140929937E0,-1.341918230E0,1.962404549E-1
1.221093284E0,2.162921190E0,-1.332449794E0,2.793181241E-1
1.231093284E0,2.154521704E0,-1.353677392E0,3.268128932E-1
1.241093284E0,2.173153162E0,-1.360702276E0,3.291036487E-1
1.251093284E0,2.253176451E0,-1.272737741E0,3.039054573E-1
1.261093284E0,2.454609156E0,-1.066265345E0,1.910481006E-1
1.271093284E0,2.510198116E0,-1.102000952E0,9.682214260E-2
1.281093284E0,2.556318283E0,-1.282511592E0,3.711006418E-2
1.291093284E0,2.602896690E0,-1.491885662E0,7.009678334E-2
1.301093284E0,2.667495728E0,-1.562898755E0,1.941024363E-1
1.311093284E0,2.709492683E0,-1.108109593E0,5.053382516E-1
1.321093284E0,2.568688393E0,-9.243918061E-1,4.688390791E-1
1.331093284E0,2.413834095E0,-9.152288437E-1,2.689334154E-1
1.341093284E0,2.311361313E0,-9.934195876E-1,2.076941915E-2
1.351093284E0,2.261270523E0,-1.151022792E0,-1.740965992E-1
1.361093284E0,2.342668295E0,-1.182940602E0,-2.267837226E-1
1.371093284E0,2.431701899E0,-8.918632865E-1,-1.522581577E-1
1.381093284E0,2.385428667E0,-8.213083148E-1,-1.237002090E-1
1.391093284E0,2.284483194E0,-9.046914577E-1,-1.166752651E-1
1.401093284E0,2.259743214E0,-9.944885969E-1,-9.269879758E-2
1.411093284E0,2.298991442E0,-9.966266751E-1,-9.392052889E-2
1.421093284E0,2.249511242E0,-9.567676783E-1,-6.185010448E-2
1.431093284E0,2.139402866E0,-9.914342761E-1,-1.298088674E-2
1.441093284E0,2.005165100E0,-1.061836481E0,3.924809024E-2
1.451093284E0,1.914451718E0,-1.194394231E0,9.239336848E-2
1.461093284E0,1.702328682E0,-1.549001575E0,1.653917581E-1
1.471093284E0,1.558317184E0,-1.515403986E0,2.280054539E-1
1.481093284E0,1.463174939E0,-1.223715782E0,2.750420868E-1
1.491093284E0,1.367421865E0,-1.010065675E0,2.640464902E-1
1.501093284E0,1.263880134E0,-8.541423082E-1,2.260201424E-1
1.511093284E0,1.156215191E0,-5.618433356E-1,1.508837193E-1
1.521093284E0,1.131322384E0,-5.251913667E-1,1.059851199E-1
1.531093284E0,1.095739484E0,-5.316054821E-1,8.277224004E-2
1.541093284E0,1.028086185E0,-5.285511613E-1,6.337726861E-2
1.551093284E0,9.460775256E-1,-5.476406813E-1,3.894266114E-2
1.561093284E0,8.665123582E-1,-5.667302608E-1,7.330383174E-3
1.571093284E0,7.322747111E-1,-5.433646441E-1,-6.933320314E-2
1.581093284E0,6.598871946E-1,-5.413793325E-1,-1.191187203E-1
1.591093284E0,5.681046844E-1,-5.752823353E-1,-1.606575549E-1
1.601093284E0,4.700607955E-1,-5.885686874E-1,-1.765400618E-1
1.611093284E0,3.367394805E-1,-5.238169432E-1,-1.857030392E-1
1.621093284E0,8.323039114E-2,-3.599523604E-1,-1.696678251E-1
1.631093284E0,5.757404864E-2,-4.879286289E-1,-1.227839142E-1
1.641093284E0,9.300423414E-2,-5.844452977E-1,-1.295034289E-1
1.651093284E0,3.161227703E-2,-3.614795208E-1,-2.099849284E-1
1.661093284E0,-2.214386500E-2,-1.608102769E-1,-2.380847335E-1
1.671093284E0,1.902845204E-1,-3.770565689E-1,-1.907426715E-1
1.681093284E0,2.964223623E-1,-4.250094891E-1,-1.557706445E-1
1.691093284E0,3.335324228E-1,-4.495968223E-1,-8.399397135E-2
1.701093284E0,3.026837409E-1,-4.340197444E-1,-8.384125680E-2
1.711093284E0,3.335324228E-1,-2.298380435E-1,-1.426370293E-1
1.721093284E0,6.462954283E-1,1.382082552E-1,-2.131919712E-1
1.731093284E0,8.003861904E-1,1.889100820E-1,-2.070833147E-1
1.741093284E0,8.239045143E-1,1.806633919E-1,-2.084577680E-1
1.751093284E0,7.591527700E-1,2.619084716E-1,-1.882992089E-1
1.761093284E0,6.867652535E-1,4.815145433E-1,-1.443169117E-1
1.771093284E0,7.307475209E-1,6.155994534E-1,-1.400408596E-1
1.781093284E0,8.894197941E-1,5.841398835E-1,-1.123992056E-1
1.791093284E0,1.136514783E0,4.445571899E-1,-1.012509167E-1
1.801093284E0,1.381929874E0,2.286163121E-1,-2.481640130E-1
1.811093284E0,1.611004353E0,3.161227703E-2,-5.096143484E-1
1.821093284E0,2.324036837E0,-6.948592514E-2,-9.715811610E-1
1.831093284E0,2.526386023E0,-2.813034356E-1,-1.057407737E0
1.841093284E0,2.552958488E0,-5.850561857E-1,-1.040761709E0
1.851093284E0,2.539977789E0,-9.706648588E-1,-9.657779336E-1
1.861093284E0,2.514015913E0,-1.513418674E0,-8.637634516E-1
1.871093284E0,2.426203966E0,-2.113593817E0,-7.032586336E-1
1.881093284E0,2.419179201E0,-2.697886467E0,-3.547599912E-1
1.891093284E0,2.518139362E0,-2.863125324E0,-2.177734673E-1
1.901093284E0,2.598009825E0,-2.979647875E0,-4.886921868E-2
1.911093284E0,2.624887943E0,-3.177110195E0,3.054326214E-2
1.921093284E0,2.564412355E0,-3.275612116E0,-2.000583708E-2
1.931093284E0,2.057088614E0,-2.796540976E0,-9.590584040E-2
1.941093284E0,1.648572564E0,-2.373975039E0,3.283400834E-2
1.951093284E0,1.300226688E0,-2.167655230E0,1.774563491E-1
1.961093284E0,1.104444385E0,-2.110234022E0,2.452623993E-1
1.971093284E0,1.116967082E0,-2.032501459E0,2.015855312E-1
1.981093284E0,1.350317597E0,-1.814422488E0,3.390302137E-2
1.991093284E0,1.294728875E0,-1.788460732E0,8.674286306E-2
2.001093284E0,1.200502872E0,-1.699121714E0,1.458440721E-1
2.011093284E0,1.141096234E0,-1.536784291E0,1.664607823E-1
2.021093284E0,1.176068306E0,-1.373072386E0,1.122464910E-1
2.031093284E0,1.391245604E0,-9.553932548E-1,-4.703662544E-2
2.041093284E0,1.439351201E0,-6.409503818E-1,-4.535674304E-2
2.051093284E0,1.450194120E0,-2.773328125E-1,6.154467165E-2
2.061093284E0,1.520138144E0,7.544185966E-2,2.415972054E-1
2.071093284E0,1.659568191E0,3.750712574E-1,4.431827366E-1
2.081093284E0,1.714087844E0,9.201157689E-1,8.561276197E-1
2.091093284E0,1.611615181E0,1.085049391E0,9.779952765E-1
2.101093284E0,1.430951834E0,1.098641157E0,1.039539933E0
2.111093284E0,1.213789225E0,1.093601465E0,1.055727839E0
2.121093284E0,9.899071455E-1,1.011745572E0,1.010523796E0
2.131093284E0,5.516113043E-1,4.173736870E-1,5.294674635E-1
2.141093284E0,2.892446816E-1,3.568980098E-1,9.498954564E-2
2.151093284E0,1.374446787E-2,5.888741016E-1,-4.978551865E-1
2.161093284E0,2.348776907E-1,1.104902506E0,-1.149801135E0
2.171093284E0,1.113149166E0,1.616960287E0,-1.533119082E0
2.181093284E0,1.689042449E0,1.511586070E0,-1.274570346E0
