"event","experiment time","system time","system time text"
"START",0.000000000E0,1782488910.419,"2026-06-26 17:48:30.419 UTC+02:00"
"PAUSE",4.787925417E0,1782488915.207,"2026-06-26 17:48:35.207 UTC+02:00"
"START",4.787925417E0,1782488920.055,"2026-06-26 17:48:40.055 UTC+02:00"
"PAUSE",8.943310510E0,1782488924.210,"2026-06-26 17:48:44.210 UTC+02:00"
"START",8.943310510E0,1782488937.497,"2026-06-26 17:48:57.497 UTC+02:00"
"PAUSE",1.364240500E1,1782488942.196,"2026-06-26 17:49:02.196 UTC+02:00"
"START",1.364240500E1,1782488948.062,"2026-06-26 17:49:08.062 UTC+02:00"
"PAUSE",1.816099875E1,1782488952.580,"2026-06-26 17:49:12.580 UTC+02:00"
"START",1.816099875E1,1782488958.025,"2026-06-26 17:49:18.025 UTC+02:00"
"PAUSE",2.318975437E1,1782488963.054,"2026-06-26 17:49:23.054 UTC+02:00"
"START",2.318975437E1,1782488967.155,"2026-06-26 17:49:27.155 UTC+02:00"
"PAUSE",2.768314959E1,1782488971.649,"2026-06-26 17:49:31.649 UTC+02:00"
"START",2.768314959E1,1782488976.229,"2026-06-26 17:49:36.229 UTC+02:00"
"PAUSE",3.338512815E1,1782488981.931,"2026-06-26 17:49:41.931 UTC+02:00"
"START",3.338512815E1,1782488986.864,"2026-06-26 17:49:46.864 UTC+02:00"
"PAUSE",3.731370852E1,1782488990.793,"2026-06-26 17:49:50.793 UTC+02:00"
"START",3.731370852E1,1782488995.660,"2026-06-26 17:49:55.660 UTC+02:00"
"PAUSE",4.220959446E1,1782489000.556,"2026-06-26 17:50:00.556 UTC+02:00"
"START",4.220959446E1,1782489005.592,"2026-06-26 17:50:05.592 UTC+02:00"
"PAUSE",4.720408071E1,1782489010.587,"2026-06-26 17:50:10.587 UTC+02:00"
"START",4.720408071E1,1782489015.622,"2026-06-26 17:50:15.622 UTC+02:00"
"PAUSE",5.123382526E1,1782489019.651,"2026-06-26 17:50:19.651 UTC+02:00"
"START",5.123382526E1,1782489032.048,"2026-06-26 17:50:32.048 UTC+02:00"
"PAUSE",5.489621805E1,1782489035.711,"2026-06-26 17:50:35.711 UTC+02:00"
"START",5.489621805E1,1782489043.380,"2026-06-26 17:50:43.380 UTC+02:00"
"PAUSE",5.974070385E1,1782489048.224,"2026-06-26 17:50:48.224 UTC+02:00"
"START",5.974070385E1,1782489052.458,"2026-06-26 17:50:52.458 UTC+02:00"
"PAUSE",6.398783923E1,1782489056.705,"2026-06-26 17:50:56.705 UTC+02:00"
"START",6.398783923E1,1782489061.757,"2026-06-26 17:51:01.757 UTC+02:00"
"PAUSE",6.880575907E1,1782489066.575,"2026-06-26 17:51:06.575 UTC+02:00"
"START",6.880575907E1,1782489070.936,"2026-06-26 17:51:10.936 UTC+02:00"
"PAUSE",7.291761418E1,1782489075.047,"2026-06-26 17:51:15.047 UTC+02:00"
"START",7.291761418E1,1782489078.945,"2026-06-26 17:51:18.945 UTC+02:00"
"PAUSE",7.760112549E1,1782489083.629,"2026-06-26 17:51:23.629 UTC+02:00"
"START",7.760112549E1,1782489087.897,"2026-06-26 17:51:27.897 UTC+02:00"
"PAUSE",8.196456226E1,1782489092.260,"2026-06-26 17:51:32.260 UTC+02:00"
